x den vel pres
0.01 0.439609 0.736549 3.14595
0.03 0.438005 0.748067 3.12994
0.05 0.435663 0.76494 3.10662
0.07 0.432751 0.785998 3.07772
0.09 0.429302 0.811064 3.04362
0.11 0.425338 0.840048 3.00458
0.13 0.420897 0.87275 2.96104
0.15 0.416039 0.908822 2.91364
0.17 0.410838 0.947784 2.86317
0.19 0.405386 0.98904 2.81054
0.21 0.399782 1.0319 2.75674
0.23 0.394132 1.07563 2.70277
0.25 0.388542 1.11942 2.64963
0.27 0.383118 1.16249 2.59825
0.29 0.377961 1.20405 2.54948
0.31 0.373168 1.24339 2.50405
0.33 0.368831 1.27986 2.46256
0.35 0.365039 1.31295 2.42543
0.37 0.361886 1.34227 2.39292
0.39 0.359479 1.36764 2.3651
0.41 0.357956 1.38902 2.34185
0.43 0.357508 1.40656 2.3229
0.45 0.358405 1.42056 2.30784
0.47 0.361026 1.4314 2.29618
0.49 0.365878 1.43955 2.28738
0.51 0.373614 1.44549 2.28091
0.53 0.385024 1.44966 2.27628
0.55 0.400992 1.45247 2.27305
0.57 0.422431 1.45424 2.27086
0.59 0.450179 1.45525 2.26944
0.61 0.484868 1.45567 2.26853
0.63 0.526786 1.45559 2.26788
0.65 0.57573 1.45489 2.26706
0.67 0.63085 1.45311 2.26513
0.69 0.690476 1.44913 2.26011
0.71 0.751898 1.44085 2.24823
0.73 0.811133 1.42489 2.22326
0.75 0.862804 1.39639 2.17632
0.77 0.900401 1.3493 2.09693
0.79 0.917257 1.277 1.97573
0.81 0.908405 1.17374 1.80893
0.83 0.872932 1.0368 1.60283
0.85 0.815602 0.8693 1.37548
0.87 0.746321 0.682536 1.15286
0.89 0.677001 0.495715 0.96003
0.91 0.617383 0.33065 0.81209
0.93 0.572323 0.202867 0.710712
0.95 0.541868 0.115869 0.647778
0.97 0.523369 0.0634999 0.612137
0.99 0.514084 0.0376984 0.595165
