x den vel pres
0.01 0.431738 0.804615 3.83459
0.03 0.429093 0.826146 3.8019
0.05 0.425441 0.856012 3.75693
0.07 0.421207 0.890866 3.70503
0.09 0.416526 0.929694 3.64792
0.11 0.411477 0.97195 3.58663
0.13 0.40613 1.01712 3.52207
0.15 0.400562 1.06464 3.45524
0.17 0.394854 1.1139 3.38711
0.19 0.389089 1.16421 3.31871
0.21 0.383351 1.21489 3.25102
0.23 0.377723 1.26522 3.18497
0.25 0.372282 1.3145 3.12143
0.27 0.367105 1.36203 3.06118
0.29 0.36226 1.40715 3.00491
0.31 0.357812 1.4493 2.95316
0.33 0.353821 1.48797 2.90636
0.35 0.350343 1.52279 2.86477
0.37 0.347437 1.55351 2.8285
0.39 0.345174 1.58003 2.79749
0.41 0.343645 1.60243 2.77152
0.43 0.342983 1.62089 2.75024
0.45 0.343378 1.63574 2.7332
0.47 0.345106 1.64739 2.71985
0.49 0.348551 1.65628 2.70964
0.51 0.354222 1.66288 2.70201
0.53 0.362764 1.66763 2.69644
0.55 0.374945 1.67092 2.69247
0.57 0.391625 1.67309 2.68972
0.59 0.413698 1.67441 2.68788
0.61 0.442004 1.6751 2.68671
0.63 0.477225 1.67529 2.68599
0.65 0.51976 1.67505 2.68549
0.67 0.569602 1.67428 2.68483
0.69 0.626192 1.67256 2.68314
0.71 0.688257 1.66896 2.67857
0.73 0.753592 1.66165 2.66756
0.75 0.818808 1.64765 2.64399
0.77 0.879103 1.62256 2.59878
0.79 0.92827 1.5806 2.52033
0.81 0.959237 1.51503 2.39667
0.83 0.965462 1.41908 2.21957
0.85 0.943146 1.28762 1.98987
0.87 0.893542 1.11963 1.72157
0.89 0.823957 0.921195 1.44118
0.91 0.746199 0.707559 1.18063
0.93 0.672708 0.501703 0.966151
0.95 0.612546 0.327466 0.809798
0.97 0.569834 0.200987 0.709508
0.99 0.545916 0.130188 0.657918
