x den vel pres
0.01 0.406082 1.08956 5.28193
0.03 0.4024 1.12805 5.21549
0.05 0.39751 1.17953 5.12771
0.07 0.392186 1.23614 5.03265
0.09 0.386688 1.29522 4.93505
0.11 0.381127 1.35565 4.83691
0.13 0.37557 1.41673 4.73942
0.15 0.370071 1.47786 4.64353
0.17 0.364682 1.53851 4.55007
0.19 0.359447 1.59811 4.4598
0.21 0.35441 1.65612 4.37342
0.23 0.349612 1.71203 4.29154
0.25 0.345091 1.76533 4.21472
0.27 0.340881 1.81556 4.14342
0.29 0.337011 1.86231 4.078
0.31 0.333506 1.90524 4.01871
0.33 0.330389 1.9441 3.96569
0.35 0.32768 1.97872 3.91895
0.37 0.325399 2.00907 3.87837
0.39 0.32357 2.03521 3.84371
0.41 0.32223 2.0573 3.8146
0.43 0.321437 2.07562 3.7906
0.45 0.321279 2.09051 3.77115
0.47 0.321894 2.10236 3.75571
0.49 0.32348 2.11159 3.74368
0.51 0.326319 2.1186 3.7345
0.53 0.330786 2.1238 3.72765
0.55 0.337365 2.12753 3.72265
0.57 0.346649 2.13011 3.7191
0.59 0.359337 2.13179 3.71667
0.61 0.376208 2.13279 3.71509
0.63 0.398083 2.13326 3.71416
0.65 0.425771 2.13333 3.7137
0.67 0.459996 2.13308 3.71357
0.69 0.501311 2.13255 3.71364
0.71 0.550009 2.13168 3.71363
0.73 0.606018 2.13024 3.71297
0.75 0.66878 2.12765 3.71035
0.77 0.737091 2.12277 3.70314
0.79 0.808889 2.11359 3.68649
0.81 0.880988 2.09696 3.65247
0.83 0.948817 2.06839 3.58955
0.85 1.00633 2.02199 3.48303
0.87 1.04634 1.95075 3.31722
0.89 1.0616 1.84723 3.07992
0.91 1.0468 1.70488 2.76883
0.93 1.00112 1.52064 2.3981
0.95 0.93066 1.2996 2.00237
0.97 0.850084 1.06473 1.63756
0.99 0.785239 0.87772 1.38514
