x den vel pres
0.01 0.444711 0.699629 1.99818
0.03 0.444526 0.70067 1.99702
0.05 0.444196 0.702533 1.99494
0.07 0.443679 0.705452 1.9917
0.09 0.44291 0.709789 1.98688
0.11 0.441819 0.715957 1.98004
0.13 0.440333 0.724368 1.97074
0.15 0.438392 0.735379 1.95863
0.17 0.435957 0.749239 1.94347
0.19 0.433017 0.766042 1.92522
0.21 0.429598 0.785693 1.90407
0.23 0.42576 0.807898 1.8804
0.25 0.421599 0.832173 1.85482
0.27 0.417239 0.857872 1.82806
0.29 0.412823 0.884237 1.80094
0.31 0.408512 0.910451 1.77433
0.33 0.404472 0.935704 1.74902
0.35 0.400882 0.959258 1.72568
0.37 0.397933 0.980506 1.70486
0.39 0.395844 0.999024 1.68689
0.41 0.394891 1.01459 1.67189
0.43 0.395433 1.02721 1.65981
0.45 0.397949 1.03705 1.65041
0.47 0.403065 1.04442 1.64335
0.49 0.411552 1.04972 1.63824
0.51 0.424294 1.05336 1.63467
0.53 0.4422 1.05573 1.63227
0.55 0.466074 1.05716 1.63073
0.57 0.496448 1.05791 1.62977
0.59 0.533403 1.05811 1.62915
0.61 0.576409 1.0577 1.62847
0.63 0.624174 1.05623 1.62695
0.65 0.674507 1.05256 1.62287
0.67 0.724169 1.04445 1.61297
0.69 0.768778 1.02832 1.59201
0.71 0.802949 0.999198 1.5529
0.73 0.820984 0.951277 1.48818
0.75 0.818338 0.879142 1.393
0.77 0.793636 0.779824 1.26871
0.79 0.75026 0.655357 1.12521
0.81 0.696113 0.514787 0.979308
0.83 0.641078 0.373599 0.848878
0.85 0.593399 0.248965 0.746035
0.87 0.55727 0.152637 0.673799
0.89 0.532813 0.0868923 0.627866
0.91 0.517733 0.046506 0.600922
0.93 0.509115 0.0236693 0.58609
0.95 0.504488 0.0115572 0.578335
0.97 0.502146 0.0054925 0.574478
0.99 0.501104 0.00281513 0.572781
