x den vel pres
0.005 0.434634 0.78533 4.25739
0.015 0.433253 0.797079 4.2385
0.025 0.431379 0.813061 4.21292
0.035 0.429241 0.831353 4.18381
0.045 0.426901 0.851452 4.15202
0.055 0.42438 0.873195 4.11786
0.065 0.421691 0.896493 4.08152
0.075 0.418847 0.921262 4.04319
0.085 0.415861 0.947408 4.00307
0.095 0.412747 0.974828 3.96135
0.105 0.409519 1.00341 3.91826
0.115 0.406195 1.03303 3.87403
0.125 0.402791 1.06356 3.82888
0.135 0.399322 1.09488 3.78304
0.145 0.395806 1.12684 3.73674
0.155 0.392258 1.15932 3.6902
0.165 0.388696 1.19216 3.64364
0.175 0.385135 1.22523 3.59727
0.185 0.381591 1.25838 3.55129
0.195 0.378079 1.29147 3.5059
0.205 0.374615 1.32435 3.46129
0.215 0.371213 1.35688 3.41764
0.225 0.367888 1.38891 3.37512
0.235 0.364653 1.42029 3.33391
0.245 0.361521 1.45088 3.29415
0.255 0.358506 1.48054 3.25599
0.265 0.355618 1.50913 3.21957
0.275 0.35287 1.53652 3.18501
0.285 0.35027 1.56258 3.15242
0.295 0.347827 1.58721 3.12189
0.305 0.345549 1.61031 3.09349
0.315 0.343441 1.63179 3.06727
0.325 0.341506 1.6516 3.04327
0.335 0.339746 1.66969 3.02149
0.345 0.33816 1.68605 3.00191
0.355 0.336746 1.70069 2.98448
0.365 0.335498 1.71365 2.96914
0.375 0.33441 1.72497 2.95578
0.385 0.333473 1.73474 2.94429
0.395 0.332678 1.74306 2.93454
0.405 0.332014 1.75005 2.92637
0.415 0.33147 1.75582 2.91964
0.425 0.331035 1.7605 2.91418
0.435 0.330701 1.76423 2.90984
0.445 0.330461 1.76714 2.90646
0.455 0.33031 1.76935 2.90388
0.465 0.330248 1.77098 2.90199
0.475 0.330282 1.77212 2.90066
0.485 0.330425 1.77287 2.89978
0.495 0.330699 1.77331 2.89927
0.505 0.331139 1.7735 2.89903
0.515 0.331792 1.7735 2.89902
0.525 0.332725 1.77336 2.89918
0.535 0.334025 1.77311 2.89946
0.545 0.335802 1.77278 2.89983
0.555 0.338195 1.77239 2.90027
0.565 0.341372 1.77196 2.90076
0.575 0.345534 1.77151 2.90128
0.585 0.350916 1.77104 2.90182
0.595 0.357781 1.77057 2.90238
0.605 0.366423 1.77009 2.90295
0.615 0.377157 1.76961 2.90353
0.625 0.390309 1.76913 2.90411
0.635 0.406206 1.76867 2.9047
0.645 0.425159 1.76821 2.90529
0.655 0.447445 1.76776 2.90589
0.665 0.473293 1.76732 2.90651
0.675 0.502857 1.76689 2.90714
0.685 0.536204 1.76647 2.90778
0.695 0.573299 1.76606 2.90844
0.705 0.613988 1.76566 2.9091
0.715 0.657999 1.76525 2.90977
0.725 0.704933 1.76481 2.91039
0.735 0.754272 1.76432 2.91089
0.745 0.805384 1.76367 2.91111
0.755 0.857522 1.76274 2.91076
0.765 0.909828 1.76128 2.9093
0.775 0.961317 1.75889 2.90589
0.785 1.01085 1.75497 2.89913
0.795 1.0571 1.74862 2.88698
0.805 1.09846 1.73853 2.86646
0.815 1.13301 1.72291 2.83353
0.825 1.15845 1.69936 2.78298
0.835 1.17213 1.66476 2.70857
0.845 1.17119 1.61534 2.60361
0.855 1.15297 1.54672 2.46214
0.865 1.11565 1.45443 2.28092
0.875 1.05914 1.33477 2.06185
0.885 0.986002 1.18624 1.81412
0.895 0.901771 1.01156 1.55455
0.905 0.81432 0.819403 1.30481
0.915 0.732067 0.624682 1.0857
0.925 0.661737 0.445501 0.910882
0.935 0.606774 0.297141 0.783628
0.945 0.567182 0.186553 0.69825
0.955 0.540603 0.111509 0.644645
0.965 0.523775 0.0643036 0.612635
0.975 0.513637 0.0363078 0.594245
0.985 0.507873 0.0206743 0.584159
0.995 0.505099 0.0132689 0.579424
