x den vel pres
0.005 0.441703 0.722986 3.56274
0.015 0.441018 0.728195 3.55502
0.025 0.440043 0.735617 3.54403
0.035 0.438859 0.74464 3.53071
0.045 0.437477 0.755195 3.51519
0.055 0.435893 0.767326 3.49742
0.065 0.434101 0.78108 3.47736
0.075 0.432101 0.796486 3.45501
0.085 0.429893 0.81355 3.4304
0.095 0.427483 0.832251 3.4036
0.105 0.424879 0.852542 3.37472
0.115 0.422094 0.874356 3.3439
0.125 0.41914 0.897604 3.31133
0.135 0.416035 0.922179 3.27719
0.145 0.412796 0.947959 3.2417
0.155 0.409443 0.974811 3.20508
0.165 0.405997 1.00259 3.16757
0.175 0.402478 1.03114 3.12941
0.185 0.398908 1.06031 3.09083
0.195 0.395309 1.08993 3.05207
0.205 0.3917 1.11983 3.01337
0.215 0.388105 1.14985 2.97495
0.225 0.384543 1.1798 2.93702
0.235 0.381035 1.20952 2.89981
0.245 0.3776 1.23882 2.8635
0.255 0.374258 1.26755 2.8283
0.265 0.371026 1.29553 2.79437
0.275 0.367921 1.32259 2.76189
0.285 0.364959 1.34857 2.731
0.295 0.362154 1.37334 2.70184
0.305 0.359518 1.39676 2.67452
0.315 0.357062 1.4187 2.64914
0.325 0.354794 1.43907 2.62576
0.335 0.352719 1.4578 2.60442
0.345 0.35084 1.47483 2.58514
0.355 0.349157 1.49015 2.56791
0.365 0.347668 1.50377 2.55269
0.375 0.346366 1.51571 2.53939
0.385 0.345244 1.52604 2.52794
0.395 0.344292 1.53486 2.5182
0.405 0.343498 1.54226 2.51004
0.415 0.342852 1.54838 2.50332
0.425 0.342342 1.55335 2.49787
0.435 0.34196 1.55731 2.49353
0.445 0.3417 1.56039 2.49016
0.455 0.341561 1.56273 2.48761
0.465 0.34155 1.56445 2.48572
0.475 0.341681 1.56566 2.48439
0.485 0.341982 1.56646 2.48351
0.495 0.342496 1.56694 2.48298
0.505 0.343282 1.56717 2.48272
0.515 0.344425 1.56721 2.48267
0.525 0.346032 1.5671 2.48277
0.535 0.348244 1.56689 2.48299
0.545 0.351232 1.5666 2.4833
0.555 0.355204 1.56626 2.48367
0.565 0.360405 1.56588 2.48408
0.575 0.367111 1.56548 2.48451
0.585 0.375632 1.56507 2.48497
0.595 0.386295 1.56465 2.48544
0.605 0.399441 1.56422 2.48592
0.615 0.415405 1.5638 2.48641
0.625 0.434495 1.56339 2.48691
0.635 0.456979 1.56298 2.48741
0.645 0.483055 1.56258 2.48793
0.655 0.512834 1.56219 2.48845
0.665 0.546322 1.5618 2.48898
0.675 0.583399 1.56143 2.48952
0.685 0.623818 1.56105 2.49007
0.695 0.667193 1.56066 2.49059
0.705 0.713012 1.56024 2.49104
0.715 0.76064 1.55972 2.49132
0.725 0.809329 1.55899 2.49124
0.735 0.858225 1.55787 2.49042
0.745 0.90637 1.55604 2.48824
0.755 0.952678 1.55299 2.48369
0.765 0.995907 1.54794 2.47517
0.775 1.0346 1.53976 2.46036
0.785 1.06704 1.52684 2.43602
0.795 1.09116 1.507 2.39787
0.805 1.10461 1.47742 2.3407
0.815 1.10482 1.43458 2.25875
0.825 1.08936 1.37444 2.14671
0.835 1.05654 1.29286 2.00134
0.845 1.00622 1.18644 1.8236
0.855 0.940634 1.05392 1.62062
0.865 0.864785 0.897976 1.4061
0.875 0.78582 0.726786 1.19812
0.885 0.711412 0.553956 1.01429
0.895 0.647691 0.395564 0.866447
0.905 0.597804 0.264758 0.757813
0.915 0.561779 0.167212 0.684108
0.925 0.537507 0.100734 0.637234
0.935 0.522054 0.0585674 0.60884
0.945 0.512644 0.0331913 0.592229
0.955 0.507107 0.0184679 0.582747
0.965 0.503934 0.0101399 0.577431
0.975 0.502157 0.00552599 0.574499
0.985 0.501196 0.00305202 0.572931
0.995 0.500747 0.0019 0.572202
