x den vel pres
0.005 0.418736 0.95103 5.14389
0.015 0.416723 0.970922 5.10942
0.025 0.414053 0.997394 5.06385
0.035 0.411125 1.02658 5.014
0.045 0.408057 1.05732 4.96195
0.055 0.404894 1.08922 4.90843
0.065 0.401654 1.12209 4.85381
0.075 0.398354 1.15578 4.79835
0.085 0.395004 1.1902 4.74226
0.095 0.391619 1.22523 4.68575
0.105 0.388208 1.26075 4.62904
0.115 0.384785 1.29665 4.57232
0.125 0.38136 1.33283 4.51577
0.135 0.377944 1.36917 4.45957
0.145 0.374548 1.40554 4.40391
0.155 0.371183 1.44185 4.34896
0.165 0.367859 1.47798 4.29486
0.175 0.364586 1.5138 4.2418
0.185 0.361375 1.54921 4.1899
0.195 0.358234 1.58408 4.13933
0.205 0.355173 1.61829 4.09022
0.215 0.352202 1.65173 4.0427
0.225 0.349329 1.68428 3.99691
0.235 0.346564 1.71582 3.95296
0.245 0.343913 1.74624 3.91098
0.255 0.341385 1.77542 3.87105
0.265 0.338987 1.80327 3.83328
0.275 0.336724 1.82969 3.79775
0.285 0.334602 1.8546 3.76451
0.295 0.332625 1.87791 3.73363
0.305 0.330796 1.89958 3.70512
0.315 0.329116 1.91956 3.67899
0.325 0.327585 1.93783 3.65525
0.335 0.326202 1.95439 3.63384
0.345 0.324964 1.96926 3.61471
0.355 0.323866 1.98247 3.59779
0.365 0.322902 1.99409 3.58296
0.375 0.322065 2.00418 3.57012
0.385 0.321347 2.01285 3.55912
0.395 0.320738 2.0202 3.54982
0.405 0.32023 2.02634 3.54206
0.415 0.319813 2.0314 3.53569
0.425 0.319478 2.03549 3.53054
0.435 0.319216 2.03873 3.52645
0.445 0.319021 2.04125 3.52328
0.455 0.318887 2.04314 3.5209
0.465 0.318811 2.04452 3.51916
0.475 0.318793 2.04546 3.51797
0.485 0.318837 2.04605 3.51722
0.495 0.318952 2.04636 3.51682
0.505 0.319153 2.04645 3.5167
0.515 0.319462 2.04636 3.5168
0.525 0.319912 2.04613 3.51707
0.535 0.320546 2.0458 3.51747
0.545 0.321423 2.0454 3.51797
0.555 0.322618 2.04494 3.51853
0.565 0.324225 2.04444 3.51915
0.575 0.326361 2.04392 3.5198
0.585 0.32917 2.04338 3.52047
0.595 0.332821 2.04283 3.52115
0.605 0.337514 2.04228 3.52185
0.615 0.343476 2.04173 3.52255
0.625 0.350963 2.04119 3.52325
0.635 0.360255 2.04065 3.52395
0.645 0.371649 2.04012 3.52466
0.655 0.385457 2.0396 3.52536
0.665 0.401987 2.03909 3.52608
0.675 0.421538 2.03859 3.5268
0.685 0.444382 2.0381 3.52754
0.695 0.47075 2.03763 3.52829
0.705 0.500815 2.03716 3.52906
0.715 0.534677 2.03671 3.52985
0.725 0.57235 2.03627 3.53066
0.735 0.613751 2.03584 3.5315
0.745 0.658688 2.03541 3.53234
0.755 0.706861 2.03496 3.53317
0.765 0.75786 2.03447 3.53391
0.775 0.811164 2.03387 3.53442
0.785 0.866144 2.03305 3.53446
0.795 0.922058 2.03183 3.53357
0.805 0.978044 2.02988 3.53097
0.815 1.03309 2.02674 3.52545
0.825 1.08602 2.02167 3.51513
0.835 1.13538 2.01363 3.49726
0.845 1.17943 2.00114 3.46799
0.855 1.21606 1.98218 3.42216
0.865 1.24269 1.95411 3.35329
0.875 1.2564 1.91353 3.25375
0.885 1.25403 1.85631 3.11557
0.895 1.23263 1.77771 2.93189
0.905 1.19022 1.67281 2.69932
0.915 1.12672 1.53742 2.42089
0.925 1.0449 1.36959 2.10842
0.935 0.950789 1.17172 1.78288
0.945 0.853025 0.952799 1.47104
0.955 0.760942 0.729112 1.19858
0.965 0.682195 0.521636 0.982562
0.975 0.621095 0.349828 0.82755
0.985 0.578756 0.226037 0.728143
0.995 0.555414 0.157146 0.677021
