x den vel pres
0.01 0.436042 0.766106 3.49918
0.03 0.433879 0.782678 3.47501
0.05 0.430824 0.806185 3.44097
0.07 0.427176 0.834403 3.40047
0.09 0.423023 0.866737 3.35456
0.11 0.418419 0.902844 3.30391
0.13 0.413427 0.942337 3.24927
0.15 0.408118 0.984729 3.19146
0.17 0.402575 1.02944 3.13146
0.19 0.396888 1.07582 3.07024
0.21 0.391151 1.12315 3.00881
0.23 0.385456 1.17069 2.94818
0.25 0.379898 1.2177 2.88928
0.27 0.374565 1.26341 2.83296
0.29 0.36954 1.30713 2.78
0.31 0.364903 1.34819 2.73103
0.33 0.360727 1.38603 2.68656
0.35 0.357083 1.42022 2.64692
0.37 0.354046 1.45045 2.6123
0.39 0.351702 1.47656 2.58268
0.41 0.350162 1.4986 2.55791
0.43 0.349586 1.51673 2.53766
0.45 0.350198 1.53126 2.52149
0.47 0.352322 1.54259 2.5089
0.49 0.356399 1.55118 2.49932
0.51 0.363005 1.55751 2.49222
0.53 0.372856 1.56201 2.48707
0.55 0.386782 1.56509 2.48344
0.57 0.405683 1.56708 2.48095
0.59 0.430446 1.56826 2.47931
0.61 0.461839 1.56883 2.47826
0.63 0.500392 1.56891 2.47759
0.65 0.546255 1.5685 2.47699
0.67 0.599061 1.56736 2.47588
0.69 0.657769 1.56479 2.47293
0.71 0.720469 1.55937 2.46546
0.73 0.784145 1.54858 2.44865
0.75 0.844433 1.52853 2.41492
0.77 0.895551 1.49392 2.35401
0.79 0.930678 1.43834 2.25454
0.81 0.943116 1.35503 2.10738
0.83 0.92833 1.23847 1.91057
0.85 0.886316 1.08662 1.6738
0.87 0.822987 0.903849 1.41913
0.89 0.749185 0.703175 1.17569
0.91 0.677184 0.50556 0.969607
0.93 0.616489 0.333817 0.814892
0.95 0.571471 0.203375 0.71118
0.97 0.542007 0.117548 0.648988
0.99 0.526445 0.072775 0.618352
