x den vel pres
0.005 0.424405 0.888256 4.86692
0.015 0.422533 0.905878 4.837
0.025 0.420044 0.929405 4.79731
0.035 0.417291 0.955554 4.75352
0.045 0.414378 0.983364 4.70732
0.055 0.411342 1.01251 4.65933
0.065 0.408203 1.04281 4.60985
0.075 0.404975 1.07416 4.55915
0.085 0.401673 1.10643 4.50746
0.095 0.39831 1.13952 4.45499
0.105 0.3949 1.17329 4.40196
0.115 0.391455 1.20764 4.34858
0.125 0.387988 1.24244 4.29507
0.135 0.384513 1.27758 4.24161
0.145 0.381041 1.31293 4.18841
0.155 0.377586 1.34837 4.13565
0.165 0.374158 1.38378 4.08351
0.175 0.370771 1.41903 4.03216
0.185 0.367434 1.454 3.98177
0.195 0.36416 1.48857 3.93249
0.205 0.360959 1.5226 3.88449
0.215 0.357842 1.55597 3.83791
0.225 0.354819 1.58856 3.79289
0.235 0.351901 1.62024 3.74957
0.245 0.349096 1.65088 3.70806
0.255 0.346413 1.68037 3.66849
0.265 0.343861 1.7086 3.63096
0.275 0.341448 1.73545 3.59556
0.285 0.339178 1.76084 3.56238
0.295 0.337058 1.78467 3.53146
0.305 0.335092 1.80688 3.50285
0.315 0.333282 1.82742 3.47658
0.325 0.33163 1.84625 3.45265
0.335 0.330133 1.86335 3.43103
0.345 0.32879 1.87875 3.41167
0.355 0.327598 1.89246 3.39451
0.365 0.326549 1.90454 3.37945
0.375 0.325637 1.91506 3.36638
0.385 0.324853 1.9241 3.35518
0.395 0.324189 1.93179 3.34569
0.405 0.323634 1.93822 3.33776
0.415 0.323178 1.94352 3.33123
0.425 0.322812 1.94782 3.32595
0.435 0.322527 1.95123 3.32176
0.445 0.322317 1.95389 3.31849
0.455 0.322175 1.9559 3.31603
0.465 0.322099 1.95736 3.31423
0.475 0.322092 1.95838 3.31297
0.485 0.322158 1.95903 3.31217
0.495 0.32231 1.95939 3.31172
0.505 0.322568 1.95951 3.31156
0.515 0.32296 1.95946 3.31162
0.525 0.323528 1.95926 3.31185
0.535 0.324325 1.95896 3.3122
0.545 0.325425 1.95858 3.31265
0.555 0.326918 1.95815 3.31318
0.565 0.32892 1.95767 3.31375
0.575 0.33157 1.95717 3.31435
0.585 0.335039 1.95665 3.31498
0.595 0.339524 1.95613 3.31562
0.605 0.345255 1.9556 3.31628
0.615 0.352489 1.95507 3.31694
0.625 0.36151 1.95455 3.3176
0.635 0.37262 1.95403 3.31826
0.645 0.386135 1.95352 3.31893
0.655 0.40237 1.95303 3.31961
0.665 0.421628 1.95254 3.32029
0.675 0.444186 1.95206 3.32098
0.685 0.470277 1.95159 3.32169
0.695 0.500071 1.95114 3.32241
0.705 0.533663 1.9507 3.32316
0.715 0.571058 1.95027 3.32392
0.725 0.612154 1.94984 3.3247
0.735 0.656744 1.94942 3.32549
0.745 0.704501 1.94897 3.32625
0.755 0.754987 1.94848 3.32692
0.765 0.807652 1.94787 3.32735
0.775 0.861833 1.94703 3.32729
0.785 0.916757 1.94575 3.32626
0.795 0.971524 1.94371 3.32348
0.805 1.02509 1.94039 3.31769
0.815 1.07622 1.93502 3.30698
0.825 1.12344 1.9265 3.28856
0.835 1.16494 1.91326 3.25853
0.845 1.19855 1.89319 3.21174
0.855 1.22167 1.86351 3.14176
0.865 1.23135 1.82072 3.04123
0.875 1.22454 1.76059 2.90267
0.885 1.19854 1.6784 2.72017
0.895 1.15184 1.56946 2.4918
0.905 1.08506 1.43018 2.22236
0.915 1.0018 1.25975 1.92537
0.925 0.908793 1.06231 1.62247
0.935 0.814844 0.848778 1.33923
0.945 0.728742 0.636618 1.09802
0.955 0.656929 0.445821 0.911361
0.965 0.602171 0.291972 0.77965
0.975 0.56383 0.180982 0.694263
0.985 0.53943 0.109931 0.643614
0.995 0.526789 0.0735375 0.618833
