x den vel pres
0.005 0.444578 0.700814 2.79629
0.015 0.444433 0.70178 2.79501
0.025 0.444207 0.703292 2.79302
0.035 0.443899 0.705347 2.79031
0.045 0.443496 0.708043 2.78676
0.055 0.442977 0.711506 2.78221
0.065 0.442324 0.715874 2.77647
0.075 0.441516 0.721286 2.76938
0.085 0.440533 0.727877 2.76077
0.095 0.439358 0.735772 2.75048
0.105 0.437975 0.745077 2.73839
0.115 0.436374 0.755878 2.72442
0.125 0.434548 0.768233 2.70851
0.135 0.432494 0.782171 2.69066
0.145 0.430216 0.797688 2.6709
0.155 0.427721 0.81475 2.64932
0.165 0.425021 0.833294 2.62603
0.175 0.422134 0.853226 2.60119
0.185 0.419079 0.874429 2.57499
0.195 0.415879 0.896764 2.54763
0.205 0.41256 0.920071 2.51935
0.215 0.409148 0.944177 2.49038
0.225 0.405673 0.968896 2.46097
0.235 0.402163 0.99403 2.43137
0.245 0.398647 1.01938 2.40183
0.255 0.395155 1.04473 2.37259
0.265 0.391716 1.06988 2.34389
0.275 0.388355 1.09462 2.31595
0.285 0.385101 1.11875 2.28898
0.295 0.381977 1.14206 2.26317
0.305 0.379005 1.16438 2.2387
0.315 0.376206 1.18554 2.21571
0.325 0.373596 1.20538 2.19434
0.335 0.371189 1.22379 2.17468
0.345 0.368994 1.24066 2.15679
0.355 0.367017 1.25593 2.14071
0.365 0.365261 1.26956 2.12644
0.375 0.363722 1.28156 2.11394
0.385 0.362395 1.29197 2.10316
0.395 0.361272 1.30086 2.09399
0.405 0.360343 1.30831 2.08632
0.415 0.359596 1.31446 2.08002
0.425 0.359022 1.31942 2.07494
0.435 0.358615 1.32335 2.07092
0.445 0.358374 1.32639 2.06782
0.455 0.358307 1.32868 2.06549
0.465 0.358435 1.33034 2.06379
0.475 0.358792 1.3315 2.0626
0.485 0.359437 1.33226 2.06182
0.495 0.360448 1.33271 2.06136
0.505 0.361938 1.33292 2.06113
0.515 0.364051 1.33296 2.06109
0.525 0.366968 1.33286 2.06118
0.535 0.370913 1.33267 2.06137
0.545 0.376147 1.33242 2.06162
0.555 0.382967 1.33212 2.06192
0.565 0.391703 1.33179 2.06225
0.575 0.402699 1.33145 2.0626
0.585 0.416304 1.3311 2.06297
0.595 0.432846 1.33074 2.06335
0.605 0.452612 1.33039 2.06374
0.615 0.475819 1.33004 2.06413
0.625 0.502594 1.3297 2.06454
0.635 0.532943 1.32936 2.06494
0.645 0.566741 1.32903 2.06535
0.655 0.603719 1.3287 2.06576
0.665 0.643459 1.32837 2.06616
0.675 0.685407 1.32801 2.0665
0.685 0.728884 1.32757 2.06673
0.695 0.773105 1.32698 2.0667
0.705 0.817194 1.32605 2.06612
0.715 0.860193 1.32452 2.06451
0.725 0.901054 1.32191 2.06105
0.735 0.938612 1.31751 2.05446
0.745 0.97154 1.31022 2.04282
0.755 0.99829 1.29853 2.02341
0.765 1.01705 1.28033 1.99265
0.775 1.02576 1.25289 1.94619
0.785 1.02225 1.21287 1.87924
0.795 1.00456 1.15654 1.78759
0.805 0.971533 1.08026 1.66899
0.815 0.923616 0.981512 1.52508
0.825 0.863484 0.860319 1.36275
0.835 0.79617 0.720819 1.19407
0.845 0.728237 0.572134 1.0338
0.855 0.66612 0.427266 0.895113
0.865 0.6144 0.299458 0.785727
0.875 0.574893 0.1976 0.706525
0.885 0.546924 0.123764 0.653226
0.895 0.528349 0.0743612 0.619386
0.905 0.51663 0.0432955 0.598817
0.915 0.509529 0.0246235 0.586705
0.925 0.505356 0.0137541 0.579737
0.935 0.502962 0.00757074 0.575798
0.945 0.501615 0.00411407 0.573604
0.955 0.50087 0.00220921 0.572398
0.965 0.500462 0.00117303 0.571742
0.975 0.500244 0.000617261 0.57139
0.985 0.500129 0.000327052 0.571207
0.995 0.500077 0.000193615 0.571122
