x den vel pres
0.005 0.438682 0.748588 3.9208
0.015 0.437638 0.756992 3.90777
0.025 0.436195 0.768639 3.88978
0.035 0.434505 0.782309 3.86875
0.045 0.432604 0.79773 3.84514
0.055 0.430502 0.814843 3.81908
0.065 0.428204 0.833619 3.79066
0.075 0.425717 0.854021 3.75999
0.085 0.423051 0.875993 3.72719
0.095 0.420218 0.89946 3.69243
0.105 0.417231 0.924329 3.65589
0.115 0.414105 0.950496 3.61779
0.125 0.410858 0.977843 3.57832
0.135 0.407507 1.00624 3.53773
0.145 0.40407 1.03556 3.49624
0.155 0.400565 1.06565 3.45409
0.165 0.397012 1.09637 3.41151
0.175 0.393429 1.12756 3.36872
0.185 0.389834 1.15909 3.32596
0.195 0.386246 1.19078 3.28344
0.205 0.382683 1.22248 3.24137
0.215 0.379163 1.25404 3.19995
0.225 0.375702 1.28529 3.15938
0.235 0.372317 1.31608 3.11985
0.245 0.369024 1.34625 3.08154
0.255 0.365839 1.37563 3.0446
0.265 0.362776 1.40409 3.0092
0.275 0.359848 1.43147 2.97547
0.285 0.357068 1.45763 2.94354
0.295 0.354448 1.48245 2.91353
0.305 0.351995 1.50581 2.88553
0.315 0.349718 1.52761 2.8596
0.325 0.347622 1.54778 2.83579
0.335 0.34571 1.56626 2.81413
0.345 0.343984 1.58301 2.79461
0.355 0.342441 1.59805 2.77721
0.365 0.341078 1.61137 2.76185
0.375 0.339888 1.62304 2.74846
0.385 0.338862 1.63313 2.73694
0.395 0.337992 1.64173 2.72714
0.405 0.337265 1.64895 2.71894
0.415 0.336671 1.65491 2.71218
0.425 0.3362 1.65976 2.7067
0.435 0.335841 1.66362 2.70233
0.445 0.335588 1.66664 2.69893
0.455 0.335439 1.66892 2.69635
0.465 0.335396 1.67061 2.69445
0.475 0.335469 1.6718 2.6931
0.485 0.335676 1.67258 2.69221
0.495 0.336049 1.67305 2.69168
0.505 0.336633 1.67326 2.69142
0.515 0.337491 1.67329 2.69139
0.525 0.338709 1.67316 2.69152
0.535 0.340394 1.67293 2.69176
0.545 0.342687 1.67262 2.6921
0.555 0.345756 1.67226 2.69251
0.565 0.349806 1.67186 2.69295
0.575 0.355074 1.67143 2.69343
0.585 0.36183 1.67099 2.69393
0.595 0.370375 1.67054 2.69445
0.605 0.381031 1.67008 2.69497
0.615 0.394129 1.66963 2.69551
0.625 0.410002 1.66919 2.69605
0.635 0.428962 1.66875 2.69659
0.645 0.451283 1.66832 2.69715
0.655 0.477183 1.6679 2.69771
0.665 0.506799 1.66748 2.69829
0.675 0.540173 1.66708 2.69888
0.685 0.577234 1.66669 2.69948
0.695 0.617789 1.6663 2.70009
0.705 0.661517 1.6659 2.70068
0.715 0.707967 1.66547 2.70122
0.725 0.756568 1.66496 2.70162
0.735 0.806633 1.66428 2.70171
0.745 0.857365 1.66328 2.70115
0.755 0.907857 1.66166 2.69938
0.765 0.957075 1.659 2.69548
0.775 1.00383 1.65461 2.68797
0.785 1.04673 1.64748 2.67468
0.795 1.0841 1.63619 2.65251
0.805 1.11397 1.61876 2.61731
0.815 1.13397 1.5926 2.56385
0.825 1.14148 1.55441 2.48606
0.835 1.13378 1.50024 2.3778
0.845 1.1086 1.42576 2.23426
0.855 1.06481 1.32686 2.05409
0.865 1.00338 1.20079 1.84162
0.875 0.928069 1.04781 1.60844
0.885 0.845341 0.873142 1.37247
0.895 0.763245 0.688096 1.15406
0.905 0.689353 0.508863 0.970054
0.915 0.628765 0.352007 0.828927
0.925 0.583189 0.228501 0.729702
0.935 0.551419 0.140454 0.664914
0.945 0.530648 0.0827403 0.624986
0.955 0.517749 0.0472625 0.601392
0.965 0.510057 0.0264339 0.587861
0.975 0.505623 0.0146186 0.580285
0.985 0.503177 0.00819176 0.576192
0.995 0.502021 0.0051827 0.574282
