x den vel pres
0.005 0.443619 0.707857 3.18611
0.015 0.443252 0.710475 3.18243
0.025 0.442709 0.714356 3.17698
0.035 0.442018 0.719305 3.17004
0.045 0.441169 0.725387 3.16152
0.055 0.440147 0.732717 3.15129
0.065 0.438936 0.741413 3.13919
0.075 0.437525 0.751575 3.12509
0.085 0.435903 0.763285 3.10892
0.095 0.434063 0.776598 3.09062
0.105 0.432005 0.791541 3.07018
0.115 0.429731 0.808115 3.04765
0.125 0.427248 0.826289 3.02311
0.135 0.424565 0.846007 2.99667
0.145 0.421697 0.86719 2.96848
0.155 0.418661 0.889733 2.93874
0.165 0.415477 0.913514 2.90764
0.175 0.412165 0.938395 2.8754
0.185 0.408749 0.964221 2.84225
0.195 0.405252 0.990829 2.80845
0.205 0.4017 1.01805 2.77423
0.215 0.398116 1.04569 2.73984
0.225 0.394526 1.07358 2.70551
0.235 0.390956 1.10153 2.67149
0.245 0.387427 1.12934 2.638
0.255 0.383966 1.15682 2.60525
0.265 0.380593 1.18379 2.57346
0.275 0.37733 1.21006 2.54282
0.285 0.374199 1.23545 2.5135
0.295 0.371216 1.2598 2.48566
0.305 0.368399 1.28293 2.45945
0.315 0.365762 1.30472 2.43499
0.325 0.363317 1.32505 2.41236
0.335 0.361072 1.3438 2.39164
0.345 0.359033 1.36092 2.37286
0.355 0.357202 1.37636 2.35604
0.365 0.355578 1.39011 2.34114
0.375 0.354157 1.40219 2.32811
0.385 0.352933 1.41266 2.31687
0.395 0.351894 1.4216 2.30732
0.405 0.351031 1.4291 2.29932
0.415 0.350332 1.4353 2.29274
0.425 0.349786 1.44032 2.28741
0.435 0.349386 1.44431 2.28318
0.445 0.349127 1.44741 2.2799
0.455 0.349013 1.44975 2.27742
0.465 0.349054 1.45147 2.2756
0.475 0.349274 1.45268 2.27432
0.485 0.349713 1.45348 2.27347
0.495 0.350429 1.45396 2.27296
0.505 0.351503 1.45419 2.27271
0.515 0.353046 1.45423 2.27266
0.525 0.355197 1.45413 2.27275
0.535 0.358133 1.45393 2.27295
0.545 0.362069 1.45366 2.27323
0.555 0.367255 1.45334 2.27356
0.565 0.373979 1.45299 2.27393
0.575 0.382558 1.45262 2.27433
0.585 0.393331 1.45223 2.27474
0.595 0.40664 1.45184 2.27517
0.605 0.422823 1.45145 2.2756
0.615 0.44218 1.45107 2.27605
0.625 0.464961 1.45068 2.2765
0.635 0.491337 1.45031 2.27696
0.645 0.521378 1.44994 2.27742
0.655 0.555033 1.44958 2.2779
0.665 0.59212 1.44923 2.27837
0.675 0.632317 1.44887 2.27884
0.685 0.675163 1.4485 2.27928
0.695 0.720068 1.44807 2.27963
0.705 0.766322 1.44752 2.27977
0.715 0.813113 1.44672 2.27947
0.725 0.859532 1.44543 2.27832
0.735 0.904568 1.44329 2.27559
0.745 0.947091 1.43968 2.27016
0.755 0.985808 1.43371 2.2603
0.765 1.01921 1.42406 2.24349
0.775 1.04552 1.40892 2.21632
0.785 1.06264 1.38584 2.17443
0.795 1.06825 1.35174 2.11272
0.805 1.06 1.30293 2.02599
0.815 1.03593 1.23542 1.91017
0.825 0.995234 1.14558 1.76413
0.835 0.939055 1.03128 1.5917
0.845 0.871074 0.893538 1.40274
0.855 0.797351 0.738106 1.21231
0.865 0.725134 0.5761 1.03704
0.875 0.660956 0.422176 0.890201
0.885 0.60894 0.290059 0.777998
0.895 0.570181 0.187704 0.699127
0.905 0.543344 0.11549 0.64743
0.915 0.525859 0.068327 0.615333
0.925 0.515008 0.0392707 0.596183
0.935 0.508522 0.0220978 0.585077
0.945 0.504754 0.0122369 0.578767
0.955 0.502613 0.00668951 0.575238
0.965 0.501419 0.00361756 0.57329
0.975 0.500764 0.0019421 0.572229
0.985 0.500415 0.00105406 0.571667
0.995 0.500253 0.000642503 0.571406
