x den vel pres
0.01 0.442253 0.716342 2.77586
0.03 0.441226 0.723216 2.76686
0.05 0.439653 0.733761 2.75309
0.07 0.437587 0.747641 2.73506
0.09 0.435006 0.765046 2.71259
0.11 0.431889 0.786157 2.68554
0.13 0.428237 0.811019 2.65398
0.15 0.42408 0.839506 2.6182
0.17 0.419473 0.87132 2.57873
0.19 0.414493 0.905999 2.53628
0.21 0.409239 0.942946 2.49172
0.23 0.403821 0.981453 2.44598
0.25 0.398358 1.02074 2.40007
0.27 0.392972 1.05997 2.35496
0.29 0.387784 1.09832 2.31157
0.31 0.382915 1.13499 2.27072
0.33 0.378477 1.16926 2.23311
0.35 0.374585 1.20053 2.19927
0.37 0.371357 1.22835 2.16953
0.39 0.368929 1.25244 2.14405
0.41 0.367472 1.27272 2.12278
0.43 0.367219 1.28931 2.1055
0.45 0.368496 1.30246 2.09184
0.47 0.371746 1.31257 2.08135
0.49 0.377558 1.32009 2.07351
0.51 0.386667 1.3255 2.06782
0.53 0.39993 1.32922 2.0638
0.55 0.418266 1.33167 2.06104
0.57 0.442557 1.33317 2.05921
0.59 0.47352 1.33396 2.05803
0.61 0.511553 1.3342 2.05727
0.63 0.556584 1.33387 2.05657
0.65 0.607919 1.33268 2.05526
0.67 0.664069 1.32979 2.05189
0.69 0.722566 1.32347 2.04355
0.71 0.779739 1.31077 2.02516
0.73 0.830582 1.28729 1.98918
0.75 0.86893 1.24733 1.92619
0.77 0.888296 1.1845 1.82714
0.79 0.883569 1.09299 1.68723
0.81 0.853291 0.969712 1.51028
0.83 0.801395 0.816966 1.31093
0.85 0.736951 0.644808 1.11196
0.87 0.671345 0.470948 0.936554
0.89 0.614209 0.315946 0.799794
0.91 0.570604 0.194868 0.704683
0.93 0.540854 0.111553 0.644763
0.95 0.522387 0.0601957 0.609936
0.97 0.511891 0.031474 0.591122
0.99 0.506849 0.0179227 0.5824
