x den vel pres
0.005 0.429785 0.832416 4.57223
0.015 0.428124 0.847303 4.54758
0.025 0.425898 0.867315 4.51462
0.035 0.423404 0.889822 4.47779
0.045 0.420728 0.914088 4.43837
0.055 0.4179 0.93986 4.39683
0.065 0.414937 0.967003 4.35343
0.075 0.411854 0.995407 4.30841
0.085 0.408664 1.02496 4.262
0.095 0.405383 1.05555 4.21441
0.105 0.402026 1.08705 4.16586
0.115 0.398606 1.11935 4.1166
0.125 0.395139 1.15232 4.06682
0.135 0.391639 1.18583 4.01676
0.145 0.388121 1.21975 3.96663
0.155 0.384599 1.25395 3.91662
0.165 0.381087 1.2883 3.86694
0.175 0.377598 1.32267 3.81777
0.185 0.374147 1.35693 3.76931
0.195 0.370746 1.39093 3.72172
0.205 0.367407 1.42455 3.67519
0.215 0.364144 1.45764 3.62986
0.225 0.360969 1.49008 3.5859
0.235 0.357892 1.52172 3.54346
0.245 0.354926 1.55245 3.50268
0.255 0.35208 1.58211 3.46367
0.265 0.349364 1.6106 3.42657
0.275 0.346788 1.63779 3.39148
0.285 0.344359 1.66358 3.35849
0.295 0.342084 1.68786 3.32768
0.305 0.339969 1.71056 3.2991
0.315 0.338016 1.73161 3.27279
0.325 0.336229 1.75095 3.24876
0.335 0.334607 1.76858 3.227
0.345 0.333149 1.78448 3.20749
0.355 0.331851 1.79867 3.19015
0.365 0.330708 1.8112 3.17491
0.375 0.329712 1.82213 3.16167
0.385 0.328856 1.83155 3.15029
0.395 0.32813 1.83956 3.14065
0.405 0.327523 1.84628 3.13258
0.415 0.327025 1.85182 3.12593
0.425 0.326626 1.85632 3.12055
0.435 0.326317 1.8599 3.11626
0.445 0.326091 1.86269 3.11293
0.455 0.325943 1.8648 3.1104
0.465 0.325872 1.86636 3.10854
0.475 0.32588 1.86744 3.10724
0.485 0.325978 1.86814 3.10639
0.495 0.326181 1.86854 3.1059
0.505 0.326516 1.86871 3.1057
0.515 0.327019 1.86868 3.10572
0.525 0.327743 1.86851 3.10591
0.535 0.328756 1.86824 3.10623
0.545 0.330147 1.86788 3.10664
0.555 0.332029 1.86747 3.10712
0.565 0.334541 1.86702 3.10765
0.575 0.337852 1.86654 3.10821
0.585 0.34216 1.86605 3.1088
0.595 0.347697 1.86555 3.1094
0.605 0.354723 1.86504 3.11001
0.615 0.363526 1.86454 3.11063
0.625 0.374414 1.86404 3.11125
0.635 0.387708 1.86355 3.11188
0.645 0.403729 1.86306 3.11251
0.655 0.422785 1.86259 3.11315
0.665 0.445154 1.86212 3.1138
0.675 0.471068 1.86167 3.11446
0.685 0.500693 1.86122 3.11514
0.695 0.534113 1.86079 3.11583
0.705 0.571315 1.86037 3.11654
0.715 0.612178 1.85995 3.11727
0.725 0.656464 1.85954 3.11799
0.735 0.703818 1.8591 3.11869
0.745 0.753764 1.85861 3.11928
0.755 0.805716 1.85798 3.11962
0.765 0.858971 1.8571 3.11942
0.775 0.912717 1.85575 3.11821
0.785 0.966016 1.85356 3.11516
0.795 1.01778 1.84999 3.10897
0.805 1.06672 1.84421 3.09766
0.815 1.11131 1.83502 3.07837
0.825 1.14969 1.82076 3.04713
0.835 1.17961 1.79919 2.99878
0.845 1.19845 1.76738 2.92697
0.855 1.20328 1.72168 2.82461
0.865 1.19119 1.6578 2.6849
0.875 1.15986 1.57107 2.5031
0.885 1.10839 1.45719 2.27902
0.895 1.03828 1.31343 2.01955
0.905 0.954069 1.14051 1.73994
0.915 0.86314 0.944668 1.46215
0.925 0.774275 0.738884 1.20985
0.935 0.69542 0.541383 1.00138
0.945 0.631625 0.370413 0.844664
0.955 0.584252 0.237537 0.736698
0.965 0.551662 0.144275 0.667657
0.975 0.530722 0.0844113 0.626124
0.985 0.518249 0.0492411 0.602695
0.995 0.51207 0.0321353 0.591548
