x den vel pres
0.01 0.416537 0.962152 4.74235
0.03 0.413034 0.995567 4.68698
0.05 0.408356 1.0405 4.61338
0.07 0.403189 1.09056 4.53254
0.09 0.397763 1.14367 4.44809
0.11 0.392181 1.19889 4.36173
0.13 0.386517 1.25555 4.27462
0.15 0.380835 1.31304 4.18775
0.17 0.375197 1.37076 4.10206
0.19 0.369662 1.42812 4.01842
0.21 0.364287 1.48449 3.93764
0.23 0.359124 1.5393 3.86045
0.25 0.354223 1.59197 3.78751
0.27 0.34963 1.64194 3.7194
0.29 0.345386 1.68875 3.65658
0.31 0.341528 1.73195 3.5994
0.33 0.338088 1.77123 3.5481
0.35 0.335095 1.80635 3.50276
0.37 0.332583 1.83719 3.46335
0.39 0.330587 1.86379 3.42967
0.41 0.32916 1.88626 3.4014
0.43 0.328382 1.90488 3.37814
0.45 0.328373 1.91995 3.35936
0.47 0.329309 1.9319 3.3445
0.49 0.33145 1.94115 3.33299
0.51 0.335148 1.94814 3.32426
0.53 0.340868 1.95327 3.31778
0.55 0.349196 1.95691 3.31309
0.57 0.360831 1.9594 3.30978
0.59 0.376567 1.961 3.30753
0.61 0.397251 1.96192 3.30606
0.63 0.423723 1.96231 3.30519
0.65 0.456736 1.96231 3.30474
0.67 0.496866 1.96198 3.30454
0.69 0.544402 1.96126 3.30432
0.71 0.599238 1.95995 3.30354
0.73 0.660743 1.95746 3.30095
0.75 0.727585 1.95262 3.29397
0.77 0.797512 1.94333 3.27791
0.79 0.867081 1.92631 3.24506
0.81 0.931418 1.89689 3.18435
0.83 0.984199 1.84905 3.08194
0.85 1.01815 1.77575 2.92374
0.87 1.02635 1.66979 2.7
0.89 1.00442 1.52534 2.41139
0.91 0.952904 1.34033 2.07389
0.93 0.878748 1.11987 1.71917
0.95 0.794578 0.880223 1.38819
0.97 0.716296 0.65309 1.12172
0.99 0.662348 0.492469 0.958377
