x den vel pres
0.01 0.426921 0.851016 4.15264
0.03 0.423892 0.877089 4.11168
0.05 0.419777 0.912712 4.05627
0.07 0.415109 0.953441 3.9937
0.09 0.41006 0.997872 3.92638
0.11 0.404722 1.04529 3.8556
0.13 0.399171 1.09512 3.7824
0.15 0.393481 1.14675 3.70781
0.17 0.387727 1.19956 3.63283
0.19 0.381985 1.25289 3.55844
0.21 0.376328 1.30607 3.48557
0.23 0.370827 1.35842 3.41508
0.25 0.365549 1.40928 3.34778
0.27 0.360559 1.45802 3.28436
0.29 0.355913 1.50405 3.22543
0.31 0.351664 1.54684 3.17147
0.33 0.347862 1.58595 3.12283
0.35 0.344551 1.62107 3.0797
0.37 0.341781 1.65201 3.04213
0.39 0.339606 1.67871 3.01002
0.41 0.338104 1.70126 2.98311
0.43 0.337385 1.71989 2.96101
0.45 0.337611 1.73491 2.94326
0.47 0.33902 1.74674 2.92931
0.49 0.341947 1.75583 2.91858
0.51 0.346841 1.76262 2.91051
0.53 0.354282 1.76754 2.90458
0.55 0.364974 1.77099 2.90033
0.57 0.379726 1.7733 2.89736
0.59 0.399412 1.77473 2.89536
0.61 0.4249 1.77551 2.89407
0.63 0.456962 1.7758 2.89329
0.65 0.496171 1.77567 2.89283
0.67 0.542779 1.77511 2.89242
0.69 0.596594 1.7739 2.89148
0.71 0.656837 1.77144 2.88878
0.73 0.721957 1.76645 2.88174
0.75 0.789399 1.75669 2.86566
0.77 0.855336 1.73863 2.83295
0.79 0.914479 1.70735 2.77292
0.81 0.960202 1.6566 2.67275
0.83 0.985292 1.5794 2.52039
0.85 0.983606 1.46906 2.30943
0.87 0.952417 1.32112 2.04457
0.89 0.894563 1.13598 1.74498
0.91 0.818922 0.921962 1.44181
0.93 0.738218 0.697107 1.16917
0.95 0.664978 0.487123 0.952597
0.97 0.608283 0.31891 0.802922
0.99 0.574407 0.217006 0.721754
