x den vel pres
0.005 0.444993 0.698042 1.99995
0.015 0.444988 0.698067 1.99993
0.025 0.44498 0.698114 1.99987
0.035 0.444966 0.698191 1.99979
0.045 0.444944 0.698314 1.99965
0.055 0.44491 0.698506 1.99944
0.065 0.444859 0.698797 1.99911
0.075 0.444782 0.699232 1.99863
0.085 0.444669 0.699864 1.99792
0.095 0.44451 0.700765 1.99692
0.105 0.444287 0.70202 1.99552
0.115 0.443984 0.703728 1.99361
0.125 0.443581 0.706006 1.99108
0.135 0.443055 0.708976 1.98778
0.145 0.442384 0.712769 1.98357
0.155 0.441546 0.717511 1.97832
0.165 0.44052 0.723323 1.9719
0.175 0.43929 0.730307 1.96421
0.185 0.437842 0.738542 1.95517
0.195 0.43617 0.748077 1.94475
0.205 0.434273 0.758926 1.93295
0.215 0.432158 0.771065 1.91982
0.225 0.429837 0.784431 1.90545
0.235 0.427331 0.798925 1.88997
0.245 0.424666 0.814411 1.87355
0.255 0.421872 0.830726 1.85638
0.265 0.418984 0.847677 1.83869
0.275 0.416039 0.865053 1.8207
0.285 0.413078 0.882628 1.80266
0.295 0.410139 0.900171 1.78481
0.305 0.407261 0.917447 1.76737
0.315 0.404481 0.93423 1.75058
0.325 0.401832 0.950306 1.73462
0.335 0.399345 0.965484 1.71967
0.345 0.397045 0.979599 1.70586
0.355 0.39495 0.992519 1.69331
0.365 0.393075 1.00415 1.68208
0.375 0.391427 1.01444 1.67219
0.385 0.390007 1.02338 1.66365
0.395 0.388815 1.031 1.6564
0.405 0.387844 1.03736 1.65036
0.415 0.38709 1.04256 1.64544
0.425 0.386551 1.04671 1.64153
0.435 0.386231 1.04994 1.63848
0.445 0.386146 1.05239 1.63617
0.455 0.386328 1.05419 1.63449
0.465 0.386832 1.05545 1.63329
0.475 0.387743 1.05629 1.6325
0.485 0.389177 1.05681 1.63201
0.495 0.391294 1.05708 1.63174
0.505 0.394296 1.05718 1.63165
0.515 0.398429 1.05714 1.63168
0.525 0.403983 1.05702 1.63179
0.535 0.411283 1.05683 1.63196
0.545 0.420675 1.0566 1.63217
0.555 0.432505 1.05635 1.63241
0.565 0.447101 1.05609 1.63266
0.575 0.464735 1.05582 1.63292
0.585 0.4856 1.05555 1.63319
0.595 0.509775 1.05529 1.63347
0.605 0.5372 1.05503 1.63374
0.615 0.567663 1.05477 1.63402
0.625 0.60079 1.05452 1.63429
0.635 0.636056 1.05426 1.63455
0.645 0.672802 1.05398 1.63477
0.655 0.710263 1.05363 1.63488
0.665 0.7476 1.05313 1.63477
0.675 0.78393 1.05231 1.6342
0.685 0.818337 1.05087 1.63274
0.695 0.849871 1.04834 1.62968
0.705 0.877517 1.04396 1.62386
0.715 0.900149 1.03658 1.61361
0.725 0.916475 1.02458 1.59655
0.735 0.925007 1.00579 1.56962
0.745 0.924114 0.977433 1.52926
0.755 0.912225 0.936331 1.47189
0.765 0.888237 0.879277 1.39499
0.775 0.852135 0.803875 1.29843
0.785 0.8056 0.709751 1.18587
0.795 0.752264 0.59988 1.06505
0.805 0.697219 0.481309 0.946517
0.815 0.645777 0.364294 0.840582
0.825 0.602014 0.259499 0.754243
0.835 0.567872 0.174432 0.689634
0.845 0.543198 0.111415 0.644729
0.855 0.526484 0.0682385 0.615335
0.865 0.515742 0.0404309 0.596967
0.875 0.509121 0.0233377 0.585886
0.885 0.505172 0.0131883 0.579379
0.895 0.502878 0.0073186 0.575639
0.905 0.501574 0.00399496 0.573529
0.915 0.500847 0.00214681 0.572358
0.925 0.500449 0.00113604 0.571719
0.935 0.500234 0.000591968 0.571374
0.945 0.50012 0.000303684 0.571192
0.955 0.500061 0.000153338 0.571097
0.965 0.50003 7.61905e-05 0.571048
0.975 0.500015 3.72843e-05 0.571024
0.985 0.500007 1.81622e-05 0.571011
0.995 0.500004 9.72199e-06 0.571006
