x den vel pres
0.01 0.421797 0.903973 4.45465
0.03 0.418486 0.93402 4.40607
0.05 0.414035 0.974668 4.34107
0.07 0.409064 1.02045 4.26883
0.09 0.403776 1.06962 4.1924
0.11 0.398271 1.12132 4.11329
0.13 0.392625 1.17493 4.03262
0.15 0.386908 1.22983 3.95141
0.17 0.381187 1.28541 3.87064
0.19 0.375529 1.34103 3.79123
0.21 0.37 1.39605 3.71404
0.23 0.364659 1.44985 3.6399
0.25 0.359567 1.5018 3.56951
0.27 0.354774 1.55132 3.50352
0.29 0.350331 1.59787 3.44244
0.31 0.346281 1.64098 3.38671
0.33 0.342664 1.68028 3.33659
0.35 0.339517 1.71548 3.29223
0.37 0.336878 1.74644 3.25363
0.39 0.334794 1.77314 3.22065
0.41 0.333327 1.79571 3.19298
0.43 0.332571 1.81437 3.17024
0.45 0.332665 1.82946 3.15192
0.47 0.333815 1.84139 3.13747
0.49 0.336313 1.85058 3.12631
0.51 0.340558 1.8575 3.11788
0.53 0.347068 1.86254 3.11165
0.55 0.356486 1.86611 3.10716
0.57 0.369568 1.86852 3.104
0.59 0.387152 1.87005 3.10186
0.61 0.410102 1.87091 3.10048
0.63 0.439242 1.87125 3.09965
0.65 0.475255 1.8712 3.0992
0.67 0.518582 1.87078 3.09892
0.69 0.569308 1.86988 3.09844
0.71 0.627035 1.86812 3.09692
0.73 0.690725 1.86465 3.09255
0.75 0.758506 1.85781 3.08183
0.77 0.82741 1.84487 3.05868
0.79 0.893112 1.82174 3.01383
0.81 0.949806 1.78294 2.93496
0.83 0.990491 1.72181 2.80835
0.85 1.00798 1.63118 2.62262
0.87 0.996835 1.50467 2.37421
0.89 0.955758 1.33878 2.07291
0.91 0.88948 1.13583 1.74375
0.93 0.808582 0.907164 1.4225
0.95 0.726812 0.675001 1.14516
0.97 0.657544 0.471404 0.938123
0.99 0.613172 0.337773 0.818936
