x den vel pres
0.005 0.9888 0.0210138 2.46094
0.015 0.986464 0.0254134 2.45283
0.025 0.983161 0.0316465 2.44137
0.035 0.979167 0.0392025 2.42754
0.045 0.974515 0.0480294 2.41147
0.055 0.96919 0.0581659 2.39313
0.065 0.963178 0.0696572 2.37247
0.075 0.956472 0.0825357 2.3495
0.085 0.949073 0.0968169 2.32425
0.095 0.940995 0.1125 2.29679
0.105 0.932261 0.129568 2.26721
0.115 0.922899 0.147991 2.23565
0.125 0.912946 0.167727 2.20226
0.135 0.902443 0.188726 2.16719
0.145 0.891436 0.210931 2.13063
0.155 0.87997 0.234279 2.09276
0.165 0.868093 0.258705 2.05376
0.175 0.855853 0.284142 2.0138
0.185 0.843297 0.310524 1.97306
0.195 0.83047 0.337784 1.93171
0.205 0.817414 0.36586 1.88989
0.215 0.804172 0.394688 1.84777
0.225 0.790781 0.424209 1.80547
0.235 0.777278 0.454368 1.76312
0.245 0.763696 0.485111 1.72082
0.255 0.750066 0.516385 1.67869
0.265 0.736417 0.548145 1.63682
0.275 0.722774 0.580343 1.59529
0.285 0.709162 0.612937 1.55417
0.295 0.695603 0.645886 1.51354
0.305 0.682118 0.67915 1.47345
0.315 0.668724 0.712691 1.43395
0.325 0.65544 0.746472 1.3951
0.335 0.642281 0.780458 1.35692
0.345 0.629263 0.814613 1.31947
0.355 0.616399 0.848902 1.28278
0.365 0.603701 0.883289 1.24686
0.375 0.591184 0.917737 1.21176
0.385 0.578859 0.95221 1.17749
0.395 0.566737 0.986667 1.14408
0.405 0.554829 1.02107 1.11154
0.415 0.543148 1.05537 1.0799
0.425 0.531705 1.08952 1.04918
0.435 0.520511 1.12348 1.01939
0.445 0.509579 1.15719 0.990543
0.455 0.49892 1.19058 0.962669
0.465 0.488548 1.2236 0.935784
0.475 0.478475 1.25617 0.909907
0.485 0.468717 1.28822 0.885059
0.495 0.459288 1.31966 0.861261
0.505 0.450203 1.3504 0.838538
0.515 0.441478 1.38034 0.816911
0.525 0.433129 1.40938 0.796407
0.535 0.425173 1.4374 0.777049
0.545 0.417626 1.46431 0.758862
0.555 0.410502 1.48997 0.741868
0.565 0.403816 1.51427 0.726086
0.575 0.397579 1.53711 0.711532
0.585 0.391799 1.55838 0.698215
0.595 0.386482 1.57799 0.686136
0.605 0.381628 1.59588 0.675287
0.615 0.37723 1.612 0.665648
0.625 0.373279 1.62634 0.657186
0.635 0.369756 1.63891 0.649856
0.645 0.366639 1.64975 0.643597
0.655 0.3639 1.65895 0.638337
0.665 0.361508 1.66661 0.633993
0.675 0.359429 1.67287 0.630472
0.685 0.35763 1.67788 0.627676
0.695 0.35608 1.68179 0.625508
0.705 0.354753 1.68477 0.623869
0.715 0.353629 1.68698 0.622668
0.725 0.352695 1.68856 0.621819
0.735 0.351946 1.68964 0.621248
0.745 0.351386 1.69034 0.62089
0.755 0.351026 1.69076 0.62069
0.765 0.350882 1.69097 0.620606
0.775 0.350975 1.69103 0.620601
0.785 0.351324 1.691 0.62065
0.795 0.351948 1.6909 0.620734
0.805 0.352861 1.69077 0.620837
0.815 0.354069 1.69062 0.620951
0.825 0.355568 1.69046 0.621067
0.835 0.357345 1.6903 0.621182
0.845 0.359374 1.69014 0.621292
0.855 0.36162 1.68998 0.621393
0.865 0.364035 1.68982 0.62148
0.875 0.366564 1.68964 0.621544
0.885 0.369142 1.6894 0.621563
0.895 0.371692 1.68902 0.621491
0.905 0.374117 1.68834 0.621235
0.915 0.376279 1.68701 0.620598
0.925 0.377962 1.68435 0.619191
0.935 0.378792 1.67904 0.616258
0.945 0.378114 1.66859 0.610393
0.955 0.374797 1.64853 0.599136
0.965 0.367053 1.61143 0.578632
0.975 0.352528 1.54638 0.54398
0.985 0.32945 1.4421 0.492029
0.995 0.301425 1.30823 0.431638
