x den vel pres
0.01 0.995814 0.0060655 1.49123
0.03 0.993616 0.00925124 1.48664
0.05 0.990003 0.0144941 1.47911
0.07 0.984821 0.0220277 1.46834
0.09 0.977754 0.0323299 1.45373
0.11 0.968495 0.0458838 1.43467
0.13 0.956802 0.0631015 1.41077
0.15 0.942531 0.084283 1.38182
0.17 0.925646 0.109596 1.34787
0.19 0.906225 0.139074 1.30923
0.21 0.884445 0.172625 1.26638
0.23 0.860558 0.210057 1.21998
0.25 0.834873 0.251101 1.17077
0.27 0.807725 0.295433 1.11953
0.29 0.77946 0.342699 1.06701
0.31 0.750421 0.392525 1.01395
0.33 0.720932 0.444531 0.961008
0.35 0.691297 0.498328 0.90876
0.37 0.661799 0.553525 0.857724
0.39 0.632697 0.609717 0.808339
0.41 0.60423 0.66648 0.760983
0.43 0.576619 0.723363 0.715977
0.45 0.550068 0.779873 0.673598
0.47 0.524768 0.835464 0.634082
0.49 0.500896 0.889534 0.597634
0.51 0.478609 0.94142 0.56443
0.53 0.458042 0.990411 0.534613
0.55 0.439293 1.03577 0.508288
0.57 0.422415 1.0768 0.48551
0.59 0.407399 1.11288 0.466268
0.61 0.394165 1.14359 0.450465
0.63 0.38256 1.16875 0.437907
0.65 0.372373 1.18848 0.428297
0.67 0.36336 1.20321 0.421252
0.69 0.355282 1.21361 0.416321
0.71 0.347943 1.22045 0.413027
0.73 0.34121 1.22449 0.410894
0.75 0.335001 1.22628 0.409445
0.77 0.329225 1.22591 0.408145
0.79 0.323657 1.22258 0.406234
0.81 0.317731 1.21383 0.40241
0.83 0.310274 1.19439 0.394386
0.85 0.299331 1.15503 0.378634
0.87 0.282522 1.08283 0.351146
0.89 0.258373 0.964901 0.309956
0.91 0.228154 0.796482 0.258388
0.93 0.196418 0.591056 0.205495
0.95 0.168854 0.383787 0.161515
0.97 0.14912 0.21693 0.13191
0.99 0.138059 0.117601 0.116444
