x den vel pres
0.01 0.904724 0.232148 3.48108
0.03 0.893899 0.259592 3.42369
0.05 0.879121 0.2974 3.34591
0.07 0.862566 0.340289 3.25951
0.09 0.844963 0.386551 3.16844
0.11 0.826611 0.435539 3.07439
0.13 0.80768 0.486917 2.97832
0.15 0.788299 0.540443 2.88099
0.17 0.768584 0.595905 2.78302
0.19 0.748636 0.653103 2.68499
0.21 0.728551 0.711853 2.58741
0.23 0.708416 0.771974 2.49072
0.25 0.688309 0.833296 2.39532
0.27 0.668302 0.895656 2.30155
0.29 0.648461 0.958894 2.20972
0.31 0.628845 1.02285 2.12008
0.33 0.609508 1.08738 2.03284
0.35 0.590501 1.15232 1.94821
0.37 0.571872 1.21751 1.86635
0.39 0.553664 1.28278 1.7874
0.41 0.53592 1.34795 1.71149
0.43 0.518682 1.41282 1.63873
0.45 0.501992 1.47719 1.56923
0.47 0.485892 1.54081 1.50309
0.49 0.470422 1.60344 1.44039
0.51 0.455628 1.66477 1.38124
0.53 0.441553 1.72449 1.32571
0.55 0.428243 1.78225 1.2739
0.57 0.415743 1.83767 1.22589
0.59 0.4041 1.89037 1.18175
0.61 0.393358 1.93992 1.14156
0.63 0.383557 1.98594 1.10534
0.65 0.374735 2.02806 1.07312
0.67 0.366922 2.06597 1.04487
0.69 0.360143 2.09945 1.02049
0.71 0.354418 2.12838 0.999859
0.73 0.349761 2.1528 0.982756
0.75 0.346184 2.17286 0.968911
0.77 0.343705 2.18888 0.957995
0.79 0.342345 2.20125 0.949637
0.81 0.342131 2.21048 0.943442
0.83 0.343094 2.21708 0.939017
0.85 0.345264 2.22158 0.935984
0.87 0.348656 2.22446 0.933998
0.89 0.353253 2.22615 0.93275
0.91 0.358987 2.22697 0.931957
0.93 0.365695 2.22705 0.931325
0.95 0.373029 2.22628 0.930469
0.97 0.380205 2.22404 0.928756
0.99 0.385355 2.21928 0.925334
