x den vel pres
0.01 0.999608 0.000463795 0.999451
0.03 0.999249 0.000888096 0.99895
0.05 0.998532 0.00173566 0.997948
0.07 0.997258 0.00324248 0.996169
0.09 0.99512 0.00577061 0.99319
0.11 0.991719 0.00979275 0.988464
0.13 0.986586 0.0158712 0.981356
0.15 0.979219 0.0246154 0.971203
0.17 0.969142 0.0366218 0.957401
0.19 0.955968 0.0524086 0.939498
0.21 0.939456 0.0723597 0.917269
0.23 0.919541 0.0966899 0.890753
0.25 0.896338 0.125437 0.860254
0.27 0.870126 0.158473 0.826292
0.29 0.841307 0.195535 0.789546
0.31 0.810367 0.236257 0.750781
0.33 0.777832 0.280201 0.71078
0.35 0.744239 0.326879 0.670304
0.37 0.710111 0.375767 0.630052
0.39 0.675942 0.426312 0.590649
0.41 0.64219 0.477924 0.552641
0.43 0.609275 0.529967 0.516495
0.45 0.577575 0.581746 0.48261
0.47 0.547421 0.632498 0.451321
0.49 0.51909 0.68138 0.422908
0.51 0.492787 0.72749 0.397595
0.53 0.468622 0.7699 0.375541
0.55 0.446591 0.807732 0.35683
0.57 0.426546 0.84026 0.341452
0.59 0.408208 0.867037 0.329279
0.61 0.39119 0.887986 0.32006
0.63 0.375079 0.90344 0.313419
0.65 0.359535 0.914074 0.308889
0.67 0.344382 0.920758 0.30595
0.69 0.329649 0.924333 0.304069
0.71 0.315528 0.925328 0.302712
0.73 0.302224 0.923581 0.301265
0.75 0.28972 0.917608 0.298856
0.77 0.277484 0.903599 0.294032
0.79 0.264248 0.874342 0.2845
0.81 0.248213 0.819355 0.267498
0.83 0.228034 0.728311 0.241427
0.85 0.204286 0.598365 0.208132
0.87 0.17997 0.441963 0.173375
0.89 0.158992 0.287041 0.143886
0.91 0.143802 0.162978 0.123355
0.93 0.134428 0.0821729 0.1113
0.95 0.129364 0.037831 0.10509
0.97 0.126904 0.0163712 0.102181
0.99 0.125853 0.00728899 0.100967
