x den vel pres
0.01 0.926245 0.166731 3.14665
0.03 0.915861 0.190921 3.09798
0.05 0.90165 0.224302 3.03184
0.07 0.885553 0.262558 2.95752
0.09 0.868195 0.304369 2.87807
0.11 0.849845 0.349227 2.79485
0.13 0.830679 0.396836 2.70879
0.15 0.810846 0.446953 2.62065
0.17 0.790484 0.499348 2.53113
0.19 0.769723 0.553801 2.44089
0.21 0.748685 0.610097 2.35051
0.23 0.727481 0.66803 2.26052
0.25 0.706216 0.727404 2.17138
0.27 0.684983 0.788027 2.08351
0.29 0.663867 0.849716 1.99726
0.31 0.642946 0.912293 1.91293
0.33 0.622291 0.975579 1.8308
0.35 0.601968 1.0394 1.75109
0.37 0.582036 1.10356 1.67399
0.39 0.562553 1.16789 1.59969
0.41 0.543573 1.23217 1.52832
0.43 0.525149 1.2962 1.46002
0.45 0.507331 1.35972 1.39491
0.47 0.490172 1.42248 1.3331
0.49 0.473724 1.48419 1.27469
0.51 0.458038 1.54452 1.21977
0.53 0.44317 1.60312 1.16846
0.55 0.429172 1.65959 1.12083
0.57 0.4161 1.71351 1.07697
0.59 0.404005 1.76446 1.03696
0.61 0.392937 1.81199 1.00086
0.63 0.382941 1.85569 0.968676
0.65 0.374053 1.89518 0.940412
0.67 0.366303 1.93019 0.916002
0.69 0.35971 1.96053 0.895323
0.71 0.354286 1.9862 0.878181
0.73 0.350035 2.00731 0.864316
0.75 0.346962 2.02415 0.853405
0.77 0.345072 2.03713 0.845075
0.79 0.344373 2.04677 0.83893
0.81 0.344874 2.05362 0.834567
0.83 0.34658 2.05824 0.831603
0.85 0.349478 2.06114 0.829686
0.87 0.353526 2.06274 0.828496
0.89 0.358626 2.06334 0.827724
0.91 0.364594 2.06302 0.827005
0.93 0.371092 2.06141 0.825786
0.95 0.377496 2.0574 0.823075
0.97 0.382611 2.04852 0.817111
0.99 0.384347 2.03189 0.805993
