x den vel pres
0.005 0.973852 0.0540043 2.891
0.015 0.970024 0.0619917 2.87517
0.025 0.964781 0.0729648 2.85353
0.035 0.958727 0.0856851 2.82863
0.045 0.952017 0.0998533 2.8011
0.055 0.944696 0.115393 2.77117
0.065 0.936789 0.132272 2.73897
0.075 0.928324 0.150461 2.70462
0.085 0.919328 0.169924 2.66828
0.095 0.909835 0.190615 2.63009
0.105 0.899881 0.212485 2.59024
0.115 0.889504 0.235477 2.54891
0.125 0.878743 0.259534 2.50626
0.135 0.867637 0.284595 2.46248
0.145 0.856227 0.310598 2.41774
0.155 0.844549 0.337484 2.37222
0.165 0.832641 0.365194 2.32608
0.175 0.820537 0.393669 2.27946
0.185 0.808272 0.422854 2.23252
0.195 0.795876 0.452697 2.18537
0.205 0.783379 0.483146 2.13815
0.215 0.770807 0.514154 2.09096
0.225 0.758187 0.545676 2.04391
0.235 0.745542 0.57767 1.99709
0.245 0.732893 0.610094 1.95058
0.255 0.720259 0.64291 1.90446
0.265 0.70766 0.676083 1.8588
0.275 0.695112 0.709579 1.81365
0.285 0.68263 0.743363 1.76907
0.295 0.670228 0.777406 1.7251
0.305 0.65792 0.811676 1.68179
0.315 0.645717 0.846145 1.63919
0.325 0.633631 0.880783 1.59731
0.335 0.621673 0.915562 1.55619
0.345 0.609852 0.950454 1.51586
0.355 0.598177 0.98543 1.47635
0.365 0.586658 1.02046 1.43766
0.375 0.575302 1.05551 1.39983
0.385 0.564119 1.09056 1.36287
0.395 0.553116 1.12557 1.3268
0.405 0.542302 1.16051 1.29162
0.415 0.531685 1.19534 1.25737
0.425 0.521272 1.23001 1.22405
0.435 0.511073 1.2645 1.19168
0.445 0.501097 1.29874 1.16026
0.455 0.491351 1.3327 1.12983
0.465 0.481847 1.36631 1.10039
0.475 0.472594 1.39953 1.07196
0.485 0.463603 1.43227 1.04456
0.495 0.454884 1.46448 1.01821
0.505 0.446451 1.49607 0.99293
0.515 0.438315 1.52697 0.96874
0.525 0.430489 1.55708 0.945664
0.535 0.422986 1.58631 0.923726
0.545 0.415819 1.61456 0.90295
0.555 0.409002 1.64173 0.883359
0.565 0.402547 1.66772 0.864977
0.575 0.396466 1.69242 0.847822
0.585 0.390769 1.71573 0.831912
0.595 0.385463 1.73756 0.817257
0.605 0.380556 1.75783 0.803863
0.615 0.376047 1.77646 0.791726
0.625 0.371937 1.79341 0.780831
0.635 0.368218 1.80865 0.771154
0.645 0.36488 1.82219 0.762658
0.655 0.361909 1.83404 0.755291
0.665 0.359285 1.84428 0.748991
0.675 0.356986 1.85297 0.743684
0.685 0.354988 1.86023 0.739286
0.695 0.353266 1.86618 0.735706
0.705 0.351797 1.87096 0.732849
0.715 0.350561 1.87472 0.730618
0.725 0.349541 1.87761 0.72892
0.735 0.348727 1.87976 0.727665
0.745 0.348116 1.88131 0.726771
0.755 0.347712 1.88238 0.726164
0.765 0.347529 1.88308 0.72578
0.775 0.347584 1.8835 0.725566
0.785 0.347903 1.88371 0.725476
0.795 0.348511 1.88376 0.725475
0.805 0.349438 1.88372 0.725537
0.815 0.35071 1.88361 0.725638
0.825 0.352349 1.88345 0.725765
0.835 0.354369 1.88327 0.725906
0.845 0.356774 1.88309 0.726052
0.855 0.359556 1.8829 0.7262
0.865 0.362693 1.88272 0.726344
0.875 0.366151 1.88254 0.726483
0.885 0.369883 1.88237 0.726614
0.895 0.373827 1.8822 0.726734
0.905 0.377916 1.88203 0.726837
0.915 0.382071 1.88183 0.72691
0.925 0.386204 1.88156 0.726922
0.935 0.390216 1.88112 0.726811
0.945 0.393986 1.88035 0.726445
0.955 0.397345 1.87887 0.725565
0.965 0.400031 1.87595 0.723674
0.975 0.401603 1.87018 0.719863
0.985 0.401309 1.85908 0.712609
0.995 0.398284 1.84032 0.700618
