x den vel pres
0.01 0.968429 0.0594535 2.39076
0.03 0.960798 0.0739938 2.36465
0.05 0.949989 0.0946999 2.32788
0.07 0.937033 0.119719 2.2841
0.09 0.922195 0.14865 2.23433
0.11 0.905612 0.181357 2.17917
0.13 0.887425 0.217703 2.11923
0.15 0.867799 0.25751 2.05519
0.17 0.84692 0.300556 1.9878
0.19 0.824987 0.346594 1.91782
0.21 0.802201 0.39536 1.84599
0.23 0.778758 0.446584 1.77304
0.25 0.754845 0.499997 1.69961
0.27 0.730638 0.555335 1.62631
0.29 0.706299 0.612337 1.55366
0.31 0.681977 0.670754 1.48213
0.33 0.657806 0.730337 1.41211
0.35 0.633912 0.79084 1.34396
0.37 0.610408 0.852014 1.27798
0.39 0.587398 0.913601 1.21441
0.41 0.564982 0.975332 1.15347
0.43 0.543252 1.03692 1.09536
0.45 0.522298 1.09803 1.04024
0.47 0.502209 1.15834 0.988263
0.49 0.48307 1.21743 0.939561
0.51 0.464966 1.27489 0.894259
0.53 0.447982 1.33024 0.852471
0.55 0.432197 1.38297 0.8143
0.57 0.417687 1.43254 0.779827
0.59 0.404517 1.47841 0.749112
0.61 0.392738 1.52008 0.722172
0.63 0.382384 1.55713 0.698977
0.65 0.373464 1.58925 0.67943
0.67 0.365965 1.61633 0.663358
0.69 0.359853 1.63843 0.650509
0.71 0.355074 1.65584 0.640556
0.73 0.351561 1.66902 0.633113
0.75 0.349247 1.67855 0.62776
0.77 0.348059 1.68509 0.624072
0.79 0.347921 1.68928 0.621641
0.81 0.348743 1.69165 0.620087
0.83 0.350397 1.69254 0.619031
0.85 0.352676 1.69194 0.618018
0.87 0.355212 1.68915 0.616334
0.89 0.357324 1.68222 0.612653
0.91 0.357786 1.66694 0.604496
0.93 0.354533 1.63561 0.587635
0.95 0.344626 1.57625 0.556224
0.97 0.325361 1.47559 0.505723
0.99 0.2993 1.34108 0.444179
