x den vel pres
0.01 0.864973 0.373839 4.08934
0.03 0.8542 0.405461 4.01925
0.05 0.839398 0.449317 3.92371
0.07 0.822946 0.498719 3.81841
0.09 0.805695 0.551308 3.70897
0.11 0.787983 0.606183 3.59766
0.13 0.769973 0.662934 3.48556
0.15 0.75177 0.721317 3.37339
0.17 0.733454 0.781146 3.26166
0.19 0.715092 0.842262 3.15084
0.21 0.696745 0.90452 3.04129
0.23 0.678468 0.967779 2.93336
0.25 0.660311 1.03191 2.82732
0.27 0.642318 1.09678 2.72345
0.29 0.624532 1.16228 2.62194
0.31 0.606989 1.22826 2.52299
0.33 0.589725 1.29462 2.42676
0.35 0.572773 1.36123 2.3334
0.37 0.556164 1.42794 2.24302
0.39 0.539926 1.49463 2.15574
0.41 0.52409 1.56114 2.07165
0.43 0.508684 1.62731 1.99084
0.45 0.493737 1.69296 1.9134
0.47 0.479278 1.75791 1.8394
0.49 0.465336 1.82193 1.76893
0.51 0.451944 1.88478 1.70207
0.53 0.439133 1.94621 1.63889
0.55 0.426937 2.00591 1.57947
0.57 0.415391 2.06359 1.5239
0.59 0.404528 2.1189 1.47225
0.61 0.394384 2.1715 1.42459
0.63 0.384993 2.22103 1.38099
0.65 0.376387 2.26715 1.34149
0.67 0.368593 2.30954 1.3061
0.69 0.361637 2.34792 1.27478
0.71 0.355541 2.38212 1.24748
0.73 0.35032 2.41201 1.22407
0.75 0.345992 2.4376 1.20436
0.77 0.342573 2.45902 1.1881
0.79 0.340085 2.4765 1.17499
0.81 0.338556 2.49038 1.16468
0.83 0.338026 2.50108 1.15679
0.85 0.338544 2.50906 1.15093
0.87 0.340168 2.5148 1.14672
0.89 0.342953 2.51877 1.1438
0.91 0.346936 2.5214 1.14185
0.93 0.352099 2.52303 1.14059
0.95 0.358289 2.52395 1.13979
0.97 0.364973 2.52432 1.13925
0.99 0.370564 2.52419 1.13877
