x den vel pres
0.005 0.95427 0.102734 3.27867
0.015 0.949345 0.114004 3.25513
0.025 0.942691 0.12929 3.22343
0.035 0.935202 0.14659 3.18786
0.045 0.927137 0.165336 3.1497
0.055 0.918584 0.185347 3.10939
0.065 0.90959 0.206541 3.06718
0.075 0.90019 0.22886 3.02325
0.085 0.890419 0.252247 2.97781
0.095 0.88031 0.276648 2.93101
0.105 0.869896 0.302006 2.88305
0.115 0.859212 0.328266 2.83409
0.125 0.848288 0.35537 2.7843
0.135 0.837157 0.383265 2.73384
0.145 0.825848 0.411898 2.68286
0.155 0.814389 0.441217 2.63151
0.165 0.802808 0.471174 2.57992
0.175 0.791129 0.501722 2.52819
0.185 0.779376 0.532818 2.47646
0.195 0.767569 0.56442 2.42482
0.205 0.75573 0.596488 2.37337
0.215 0.743877 0.628985 2.32218
0.225 0.732026 0.661877 2.27135
0.235 0.720195 0.69513 2.22092
0.245 0.708396 0.728713 2.17098
0.255 0.696644 0.762596 2.12157
0.265 0.684951 0.796752 2.07275
0.275 0.673329 0.831153 2.02456
0.285 0.661787 0.865773 1.97704
0.295 0.650335 0.900587 1.93022
0.305 0.638983 0.935572 1.88414
0.315 0.627739 0.970702 1.83882
0.325 0.61661 1.00595 1.7943
0.335 0.605604 1.04131 1.75058
0.345 0.594728 1.07673 1.7077
0.355 0.583989 1.11221 1.66567
0.365 0.573392 1.14771 1.6245
0.375 0.562945 1.18321 1.58422
0.385 0.552654 1.21869 1.54484
0.395 0.542524 1.25411 1.50636
0.405 0.532561 1.28945 1.4688
0.415 0.522772 1.32467 1.43218
0.425 0.513164 1.35974 1.3965
0.435 0.503742 1.39462 1.36178
0.445 0.494514 1.42928 1.32803
0.455 0.485486 1.46366 1.29526
0.465 0.476667 1.49773 1.26349
0.475 0.468064 1.53143 1.23274
0.485 0.459685 1.5647 1.20302
0.495 0.45154 1.59749 1.17434
0.505 0.443638 1.62972 1.14673
0.515 0.435989 1.66133 1.12021
0.525 0.428602 1.69224 1.0948
0.535 0.42149 1.72237 1.07052
0.545 0.414664 1.75163 1.04739
0.555 0.408133 1.77993 1.02544
0.565 0.40191 1.80718 1.00469
0.575 0.396004 1.83328 0.98517
0.585 0.390427 1.85813 0.966891
0.595 0.385187 1.88166 0.949874
0.605 0.380291 1.90376 0.93413
0.615 0.375744 1.92436 0.919667
0.625 0.371549 1.9434 0.906483
0.635 0.367705 1.96083 0.894567
0.645 0.364209 1.97661 0.883899
0.655 0.361054 1.99075 0.874447
0.665 0.358228 2.00326 0.866167
0.675 0.355717 2.01419 0.859002
0.685 0.353504 2.02359 0.852886
0.695 0.351571 2.03155 0.84774
0.705 0.349896 2.03819 0.843479
0.715 0.34846 2.04363 0.840013
0.725 0.347246 2.048 0.837247
0.735 0.346238 2.05143 0.835088
0.745 0.345427 2.05406 0.833445
0.755 0.344808 2.05602 0.832231
0.765 0.344385 2.05744 0.831368
0.775 0.344167 2.05841 0.830785
0.785 0.344171 2.05904 0.830423
0.795 0.344421 2.0594 0.830228
0.805 0.344947 2.05957 0.830158
0.815 0.345782 2.0596 0.830178
0.825 0.34696 2.05952 0.830261
0.835 0.348516 2.05939 0.830387
0.845 0.350481 2.05921 0.830539
0.855 0.352878 2.05901 0.830706
0.865 0.355721 2.0588 0.830881
0.875 0.359015 2.05858 0.831057
0.885 0.362749 2.05838 0.831231
0.895 0.366899 2.05818 0.8314
0.905 0.371424 2.05799 0.831562
0.915 0.37627 2.05782 0.831713
0.925 0.38137 2.05766 0.83185
0.935 0.386644 2.05751 0.831962
0.945 0.392003 2.05737 0.832036
0.955 0.397346 2.05721 0.832046
0.965 0.402556 2.05697 0.831944
0.975 0.407468 2.0565 0.83164
0.985 0.411771 2.05555 0.830965
0.995 0.414701 2.05376 0.829706
