x den vel pres
0.01 0.947977 0.108039 2.78518
0.03 0.938585 0.127945 2.74704
0.05 0.925603 0.155662 2.69466
0.07 0.910594 0.188032 2.63456
0.09 0.894038 0.224171 2.5688
0.11 0.876157 0.263732 2.49842
0.13 0.857124 0.306474 2.42422
0.15 0.837107 0.352167 2.34699
0.17 0.816271 0.40057 2.26748
0.19 0.794781 0.451442 2.1864
0.21 0.772794 0.504539 2.10444
0.23 0.750456 0.559624 2.0222
0.25 0.727908 0.616464 1.94026
0.27 0.705273 0.674838 1.85909
0.29 0.682669 0.734529 1.77914
0.31 0.660201 0.795328 1.70076
0.33 0.637963 0.857026 1.6243
0.35 0.616045 0.919418 1.55002
0.37 0.594526 0.982293 1.47817
0.39 0.573483 1.04543 1.40895
0.41 0.552986 1.10861 1.34253
0.43 0.533104 1.17157 1.27907
0.45 0.513903 1.23404 1.21872
0.47 0.495449 1.29573 1.16159
0.49 0.477808 1.3563 1.10781
0.51 0.461046 1.41538 1.05749
0.53 0.445228 1.47257 1.01072
0.55 0.430421 1.52742 0.967605
0.57 0.416689 1.57946 0.928232
0.59 0.404091 1.62821 0.892667
0.61 0.392682 1.67319 0.860953
0.63 0.382505 1.71398 0.833092
0.65 0.373593 1.75023 0.80904
0.67 0.365963 1.78169 0.788688
0.69 0.359619 1.8083 0.771857
0.71 0.354554 1.83015 0.758293
0.73 0.35075 1.84751 0.747675
0.75 0.348186 1.86081 0.739627
0.77 0.34684 1.87061 0.733744
0.79 0.346687 1.87748 0.729613
0.81 0.347698 1.88203 0.72684
0.83 0.349823 1.88479 0.725065
0.85 0.352983 1.88618 0.72395
0.87 0.357036 1.88639 0.723144
0.89 0.361732 1.88527 0.722172
0.91 0.366628 1.88197 0.72021
0.93 0.370924 1.87438 0.715697
0.95 0.373202 1.85812 0.705774
0.97 0.371209 1.82601 0.686134
0.99 0.363054 1.7737 0.654992
