x den vel pres
0.01 0.985248 0.0247313 1.95895
0.03 0.980194 0.033244 1.94499
0.05 0.972667 0.0459636 1.92427
0.07 0.963044 0.0623037 1.89792
0.09 0.951304 0.0823708 1.86597
0.11 0.937409 0.10632 1.82843
0.13 0.921383 0.134226 1.78549
0.15 0.903321 0.166061 1.73755
0.17 0.883382 0.201706 1.68516
0.19 0.861769 0.240971 1.629
0.21 0.838716 0.283608 1.56984
0.23 0.814476 0.329338 1.50842
0.25 0.789303 0.37786 1.44551
0.27 0.763444 0.428863 1.38182
0.29 0.737136 0.482037 1.318
0.31 0.7106 0.537074 1.25462
0.33 0.684038 0.59367 1.19221
0.35 0.657637 0.651521 1.1312
0.37 0.631569 0.710322 1.07198
0.39 0.605989 0.769758 1.01488
0.41 0.581044 0.8295 0.960169
0.43 0.55687 0.889195 0.908094
0.45 0.533596 0.948459 0.858862
0.47 0.511347 1.00687 0.812656
0.49 0.490242 1.06395 0.769639
0.51 0.470395 1.11917 0.729955
0.53 0.451914 1.17198 0.693732
0.55 0.434895 1.22177 0.661074
0.57 0.419419 1.26791 0.632059
0.59 0.405543 1.30982 0.606722
0.61 0.393293 1.34698 0.585042
0.63 0.382656 1.37904 0.566929
0.65 0.373578 1.40583 0.552208
0.67 0.365969 1.4274 0.540616
0.69 0.359705 1.4441 0.531807
0.71 0.354648 1.45644 0.525374
0.73 0.350661 1.46509 0.520875
0.75 0.347616 1.47078 0.517866
0.77 0.345397 1.47415 0.515918
0.79 0.343882 1.47568 0.514609
0.81 0.342898 1.47544 0.513459
0.83 0.342131 1.4728 0.511763
0.85 0.340963 1.46576 0.508276
0.87 0.338226 1.44994 0.500709
0.89 0.331939 1.41725 0.485245
0.91 0.319356 1.35513 0.456752
0.93 0.29789 1.24818 0.410841
0.95 0.267136 1.08425 0.348013
0.97 0.231059 0.867849 0.277579
0.99 0.199705 0.652412 0.219523
