x den vel pres
0.005 0.999714 0.000414659 1.4994
0.015 0.999574 0.000617267 1.49911
0.025 0.999339 0.000958201 1.49861
0.035 0.998987 0.00146764 1.49787
0.045 0.998479 0.00220448 1.49681
0.055 0.997761 0.00324561 1.4953
0.065 0.996769 0.00468447 1.49322
0.075 0.995428 0.00663014 1.49042
0.085 0.993655 0.00920531 1.48671
0.095 0.99136 0.0125429 1.48191
0.105 0.988449 0.0167811 1.47584
0.115 0.984833 0.0220578 1.46831
0.125 0.980425 0.0285041 1.45916
0.135 0.975153 0.0362384 1.44823
0.145 0.968958 0.0453611 1.43544
0.155 0.9618 0.0559502 1.42071
0.165 0.953657 0.0680597 1.40402
0.175 0.94453 0.0817178 1.38539
0.185 0.934437 0.0969287 1.36489
0.195 0.923414 0.113674 1.34262
0.205 0.911512 0.131915 1.31871
0.215 0.898793 0.151599 1.29332
0.225 0.885329 0.172659 1.26662
0.235 0.871196 0.195018 1.23878
0.245 0.856474 0.218595 1.20999
0.255 0.841243 0.243306 1.18043
0.265 0.825582 0.269062 1.15029
0.275 0.809569 0.29578 1.11971
0.285 0.793276 0.323374 1.08887
0.295 0.776773 0.351763 1.0579
0.305 0.760123 0.380867 1.02693
0.315 0.743387 0.410612 0.996096
0.325 0.72662 0.440923 0.965493
0.335 0.709873 0.471731 0.93522
0.345 0.693193 0.502969 0.905364
0.355 0.676624 0.534569 0.876
0.365 0.660205 0.566466 0.847197
0.375 0.643973 0.598595 0.819014
0.385 0.627964 0.630891 0.791505
0.395 0.61221 0.663286 0.764717
0.405 0.596743 0.695711 0.738695
0.415 0.581593 0.728094 0.713477
0.425 0.566788 0.760355 0.689099
0.435 0.552359 0.792413 0.665596
0.445 0.538334 0.824177 0.643
0.455 0.524742 0.855549 0.621342
0.465 0.511614 0.886423 0.600653
0.475 0.498978 0.916683 0.580963
0.485 0.486865 0.946203 0.562304
0.495 0.475306 0.974847 0.544704
0.505 0.464329 1.00247 0.528194
0.515 0.453964 1.02893 0.512801
0.525 0.444235 1.05406 0.49855
0.535 0.435165 1.07771 0.485463
0.545 0.426768 1.09973 0.473555
0.555 0.419052 1.12 0.462832
0.565 0.412013 1.13841 0.453289
0.575 0.405636 1.15487 0.44491
0.585 0.399888 1.16936 0.437661
0.595 0.394725 1.18187 0.431492
0.605 0.390085 1.19247 0.426338
0.615 0.385891 1.20125 0.422117
0.625 0.382058 1.20837 0.418737
0.635 0.378492 1.21399 0.416092
0.645 0.375097 1.21832 0.414078
0.655 0.371785 1.22155 0.412588
0.665 0.368475 1.2239 0.411521
0.675 0.365104 1.22555 0.410785
0.685 0.361629 1.22665 0.410301
0.695 0.358029 1.22736 0.410001
0.705 0.354309 1.22779 0.409832
0.715 0.350495 1.22802 0.409751
0.725 0.346631 1.22813 0.409728
0.735 0.34278 1.22815 0.409741
0.745 0.339009 1.22812 0.409772
0.755 0.335392 1.22806 0.409812
0.765 0.331997 1.22798 0.409853
0.775 0.328882 1.22788 0.409888
0.785 0.326092 1.22776 0.409907
0.795 0.323648 1.22757 0.409897
0.805 0.321547 1.22724 0.409825
0.815 0.31975 1.22664 0.409627
0.825 0.318164 1.22543 0.409171
0.835 0.316606 1.22299 0.408183
0.845 0.314742 1.21801 0.406127
0.855 0.311967 1.20808 0.401993
0.865 0.307261 1.18879 0.394036
0.875 0.299089 1.15306 0.379623
0.885 0.285596 1.09101 0.355666
0.895 0.26541 0.991971 0.320158
0.905 0.238963 0.849579 0.274525
0.915 0.209317 0.669223 0.224827
0.925 0.181244 0.473378 0.179634
0.935 0.158814 0.296202 0.145431
0.945 0.143518 0.164673 0.123599
0.955 0.134411 0.083361 0.111464
0.965 0.129532 0.0396681 0.10534
0.975 0.127106 0.0182168 0.102428
0.985 0.125964 0.00826381 0.101097
0.995 0.125479 0.00408544 0.100541
