x den vel pres
0.005 0.910617 0.231587 3.94945
0.015 0.904763 0.247335 3.91419
0.025 0.89686 0.268702 3.86677
0.035 0.888131 0.292468 3.81461
0.045 0.878973 0.317591 3.76012
0.055 0.869527 0.343716 3.70417
0.065 0.859854 0.370697 3.64713
0.075 0.849988 0.398456 3.58923
0.085 0.839956 0.426938 3.53065
0.095 0.829781 0.456094 3.47152
0.105 0.819485 0.485879 3.412
0.115 0.809088 0.516252 3.35221
0.125 0.798608 0.547172 3.29227
0.135 0.788064 0.578602 3.23228
0.145 0.777471 0.610506 3.17235
0.155 0.766845 0.642849 3.11257
0.165 0.7562 0.675602 3.05302
0.175 0.745549 0.708732 2.99378
0.185 0.734903 0.742213 2.93492
0.195 0.724276 0.776017 2.87651
0.205 0.713675 0.810119 2.81859
0.215 0.703112 0.844496 2.76122
0.225 0.692595 0.879124 2.70446
0.235 0.682132 0.913983 2.64833
0.245 0.67173 0.949052 2.59287
0.255 0.661397 0.98431 2.53813
0.265 0.651139 1.01974 2.48413
0.275 0.640962 1.05532 2.43089
0.285 0.630871 1.09104 2.37844
0.295 0.620871 1.12687 2.32681
0.305 0.610968 1.1628 2.276
0.315 0.601167 1.19882 2.22604
0.325 0.591471 1.2349 2.17694
0.335 0.581884 1.27102 2.12872
0.345 0.572412 1.30718 2.08139
0.355 0.563057 1.34334 2.03495
0.365 0.553823 1.3795 1.98942
0.375 0.544716 1.41562 1.94481
0.385 0.535737 1.4517 1.90113
0.395 0.526891 1.4877 1.85838
0.405 0.518182 1.52361 1.81658
0.415 0.509615 1.55939 1.77574
0.425 0.501192 1.59503 1.73586
0.435 0.492919 1.63049 1.69695
0.445 0.4848 1.66573 1.65902
0.455 0.476839 1.70073 1.62209
0.465 0.469043 1.73545 1.58616
0.475 0.461416 1.76985 1.55125
0.485 0.453964 1.80388 1.51738
0.495 0.446693 1.83749 1.48455
0.505 0.43961 1.87064 1.45278
0.515 0.432722 1.90326 1.4221
0.525 0.426036 1.9353 1.39252
0.535 0.419559 1.96669 1.36405
0.545 0.413301 1.99737 1.33674
0.555 0.407268 2.02725 1.31059
0.565 0.401469 2.05627 1.28563
0.575 0.395914 2.08434 1.26188
0.585 0.39061 2.11138 1.23937
0.595 0.385566 2.13732 1.21812
0.605 0.380789 2.16205 1.19815
0.615 0.376286 2.18552 1.17948
0.625 0.372062 2.20765 1.16211
0.635 0.368122 2.22836 1.14606
0.645 0.364468 2.24761 1.13133
0.655 0.3611 2.26534 1.11791
0.665 0.358016 2.28154 1.10579
0.675 0.355211 2.29618 1.09493
0.685 0.352678 2.30929 1.08529
0.695 0.350408 2.32089 1.07684
0.705 0.348387 2.33103 1.06951
0.715 0.346602 2.33977 1.06322
0.725 0.345038 2.34721 1.05791
0.735 0.343678 2.35344 1.05349
0.745 0.342508 2.35858 1.04986
0.755 0.341514 2.36273 1.04695
0.765 0.340685 2.36603 1.04465
0.775 0.340013 2.36858 1.04288
0.785 0.339496 2.37051 1.04156
0.795 0.339137 2.37192 1.0406
0.805 0.338944 2.3729 1.03995
0.815 0.338935 2.37354 1.03953
0.825 0.33913 2.37392 1.03931
0.835 0.339559 2.3741 1.03922
0.845 0.340255 2.37413 1.03924
0.855 0.341258 2.37405 1.03934
0.865 0.342608 2.37389 1.03949
0.875 0.344348 2.37369 1.03967
0.885 0.346519 2.37346 1.03988
0.895 0.349158 2.37322 1.0401
0.905 0.352295 2.37298 1.04032
0.915 0.355952 2.37274 1.04054
0.925 0.360137 2.37252 1.04074
0.935 0.364847 2.37233 1.04094
0.945 0.370061 2.37215 1.04112
0.955 0.375738 2.37201 1.04128
0.965 0.381798 2.3719 1.04141
0.975 0.388083 2.37182 1.04153
0.985 0.394197 2.37177 1.04161
0.995 0.399002 2.37175 1.04166
