x den vel pres
0.005 0.999996 4.43963e-06 0.999995
0.015 0.999993 8.17666e-06 0.99999
0.025 0.999987 1.57901e-05 0.999981
0.035 0.999975 2.99086e-05 0.999965
0.045 0.999953 5.52871e-05 0.999935
0.055 0.999916 9.97067e-05 0.999882
0.065 0.999852 0.000175429 0.999792
0.075 0.999745 0.000301142 0.999644
0.085 0.999574 0.000504392 0.999403
0.095 0.999303 0.000824385 0.999025
0.105 0.998889 0.00131497 0.998445
0.115 0.99827 0.00204741 0.99758
0.125 0.99737 0.00311245 0.996323
0.135 0.996096 0.00462116 0.994544
0.145 0.994339 0.0067039 0.992093
0.155 0.991975 0.00950722 0.988801
0.165 0.988876 0.0131885 0.984493
0.175 0.984909 0.0179088 0.97899
0.185 0.979951 0.0238243 0.972131
0.195 0.973891 0.0310781 0.963774
0.205 0.966641 0.0397921 0.953813
0.215 0.958141 0.0500614 0.942186
0.225 0.948362 0.0619501 0.928874
0.235 0.937306 0.0754901 0.913906
0.245 0.925005 0.0906825 0.897354
0.255 0.911519 0.1075 0.879327
0.265 0.89693 0.125891 0.859967
0.275 0.881337 0.145783 0.839433
0.285 0.86485 0.167092 0.817903
0.295 0.847588 0.189719 0.795556
0.305 0.829671 0.213563 0.772574
0.315 0.81122 0.238515 0.749133
0.325 0.792351 0.264468 0.725401
0.335 0.773176 0.291314 0.701533
0.345 0.753801 0.318946 0.677672
0.355 0.734324 0.347259 0.653951
0.365 0.714839 0.376149 0.630485
0.375 0.69543 0.405514 0.607381
0.385 0.676179 0.43525 0.584733
0.395 0.657159 0.465254 0.562625
0.405 0.63844 0.495417 0.541131
0.415 0.62009 0.525628 0.520321
0.425 0.60217 0.555771 0.500254
0.435 0.584742 0.585719 0.480987
0.445 0.567864 0.615339 0.462571
0.455 0.551594 0.644485 0.445054
0.465 0.535987 0.672999 0.428483
0.475 0.521096 0.700714 0.412899
0.485 0.50697 0.727449 0.398343
0.495 0.493654 0.753015 0.384852
0.505 0.481184 0.777219 0.372457
0.515 0.469585 0.79987 0.361184
0.525 0.458866 0.820789 0.35105
0.535 0.449017 0.839817 0.342059
0.545 0.439999 0.856833 0.334203
0.555 0.431746 0.871761 0.327454
0.565 0.42416 0.884582 0.321766
0.575 0.417108 0.89534 0.317074
0.585 0.41043 0.904142 0.313294
0.595 0.403948 0.911151 0.310327
0.605 0.397474 0.916572 0.308063
0.615 0.390826 0.920639 0.306389
0.625 0.383851 0.923593 0.305192
0.635 0.376435 0.925666 0.304368
0.645 0.368518 0.92707 0.303824
0.655 0.360105 0.927983 0.303483
0.665 0.351262 0.928553 0.30328
0.675 0.342119 0.928891 0.30317
0.685 0.332847 0.929077 0.303116
0.695 0.323651 0.929166 0.303096
0.705 0.314744 0.929194 0.303091
0.715 0.306329 0.929176 0.303091
0.725 0.298581 0.929114 0.303086
0.735 0.291628 0.928991 0.303064
0.745 0.285546 0.928762 0.303007
0.755 0.280346 0.928323 0.302879
0.765 0.275967 0.92746 0.302607
0.775 0.27226 0.925733 0.302044
0.785 0.268957 0.922263 0.300899
0.795 0.265606 0.915364 0.298618
0.805 0.261481 0.901998 0.294234
0.815 0.255518 0.877214 0.286247
0.825 0.246397 0.834077 0.272796
0.835 0.232989 0.765016 0.252414
0.845 0.215179 0.66529 0.225337
0.855 0.194522 0.537902 0.194437
0.865 0.173956 0.396888 0.164525
0.875 0.156432 0.264187 0.139999
0.885 0.14354 0.158972 0.122769
0.895 0.135191 0.0878877 0.112134
0.905 0.130307 0.045673 0.106174
0.915 0.127658 0.0227695 0.103044
0.925 0.126294 0.0110402 0.101468
0.935 0.125617 0.00524629 0.100696
0.945 0.125289 0.00245225 0.100325
0.955 0.125133 0.00112905 0.100149
0.965 0.12506 0.000512155 0.100068
0.975 0.125027 0.000228892 0.10003
0.985 0.125012 0.000101248 0.100013
0.995 0.125006 4.78728e-05 0.100006
